Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Pasti udah d sogok ma trsgka....,Pasti udah sogok ma trsgka,pasti udah sogok ma trsgka,"['pasti', 'udah', 'sogok', 'ma', 'trsgka']","['pasti', 'udah', 'sogok', 'ma', 'trsgka']","['udah', 'sogok', 'ma', 'trsgka']","['udah', 'sogok', 'ma', 'trsgka']",udah sogok ma trsgka
Mendikbud mana woiii,Mendikbud mana woii,mendikbud mana woii,"['mendikbud', 'mana', 'woii']","['mendikbud', 'mana', 'woii']","['mendikbud', 'woii']","['mendikbud', 'woii']",mendikbud woii
Hajaaarr ...,Hajaarr,hajaarr,['hajaarr'],['hajaarr'],['hajaarr'],['hajaarr'],hajaarr
"Pengacara ini dari dulu sombongnya minta ampun. Pernah dampingi pelaku narkoba jennifer dunn ehh malah cipok2an sama tersangka, di tambah lagi anak perempuannya murtad gara2 stess di cerai suaminya, dan skr berulah lagi di pengadilan. Pengacara gak beres",Pengacara ini dari dulu sombongnya minta ampun Pernah dampingi pelaku narkoba jennifer dunn ehh malah cipokan sama tersangka di tambah lagi anak perempuannya murtad gara stess di cerai suaminya dan skr berulah lagi di pengadilan Pengacara gak beres,pengacara ini dari dulu sombongnya minta ampun pernah dampingi pelaku narkoba jennifer dunn ehh malah cipokan sama tersangka di tambah lagi anak perempuannya murtad gara stess di cerai suaminya dan skr berulah lagi di pengadilan pengacara gak beres,"['pengacara', 'ini', 'dari', 'dulu', 'sombongnya', 'minta', 'ampun', 'pernah', 'dampingi', 'pelaku', 'narkoba', 'jennifer', 'dunn', 'ehh', 'malah', 'cipokan', 'sama', 'tersangka', 'di', 'tambah', 'lagi', 'anak', 'perempuannya', 'murtad', 'gara', 'stess', 'di', 'cerai', 'suaminya', 'dan', 'skr', 'berulah', 'lagi', 'di', 'pengadilan', 'pengacara', 'gak', 'beres']","['pengacara', 'ini', 'dari', 'dulu', 'sombongnya', 'minta', 'ampun', 'pernah', 'dampingi', 'pelaku', 'narkoba', 'jennifer', 'dunn', 'ehh', 'malah', 'cipokan', 'sama', 'tersangka', 'di', 'tambah', 'lagi', 'anak', 'perempuannya', 'murtad', 'gara', 'stess', 'di', 'cerai', 'suaminya', 'dan', 'skr', 'berulah', 'lagi', 'di', 'pengadilan', 'pengacara', 'enggak', 'beres']","['pengacara', 'sombongnya', 'ampun', 'dampingi', 'pelaku', 'narkoba', 'jennifer', 'dunn', 'ehh', 'cipokan', 'tersangka', 'anak', 'perempuannya', 'murtad', 'gara', 'stess', 'cerai', 'suaminya', 'skr', 'berulah', 'pengadilan', 'pengacara', 'beres']","['acara', 'sombong', 'ampun', 'damping', 'laku', 'narkoba', 'jennifer', 'dunn', 'ehh', 'cipok', 'sangka', 'anak', 'perempuan', 'murtad', 'gara', 'stess', 'cerai', 'suami', 'skr', 'ulah', 'adil', 'acara', 'beres']",acara sombong ampun damping laku narkoba jennifer dunn ehh cipok sangka anak perempuan murtad gara stess cerai suami skr ulah adil acara beres
pasti marahlah anaknya di bully..apalagi sampe ada kekerasan fisik/psikis.,pasti marahlah anaknya di bully apalagi sampe ada kekerasan fisik psikis,pasti marahlah anaknya di bully apalagi sampe ada kekerasan fisik psikis,"['pasti', 'marahlah', 'anaknya', 'di', 'bully', 'apalagi', 'sampe', 'ada', 'kekerasan', 'fisik', 'psikis']","['pasti', 'marahlah', 'anaknya', 'di', 'bully', 'apalagi', 'sampe', 'ada', 'kekerasan', 'fisik', 'psikis']","['marahlah', 'anaknya', 'bully', 'sampe', 'kekerasan', 'fisik', 'psikis']","['marah', 'anak', 'bully', 'sampe', 'keras', 'fisik', 'psikis']",marah anak bully sampe keras fisik psikis
Pak menteri lagi jalan2 kasus spt ini bukan tanggung jawab nya kali...😢,Pak menteri lagi jalan kasus spt ini bukan tanggung jawab nya kali,pak menteri lagi jalan kasus spt ini bukan tanggung jawab nya kali,"['pak', 'menteri', 'lagi', 'jalan', 'kasus', 'spt', 'ini', 'bukan', 'tanggung', 'jawab', 'nya', 'kali']","['pak', 'menteri', 'lagi', 'jalan', 'kasus', 'seperti', 'ini', 'bukan', 'tanggung', 'jawab', 'nya', 'kali']","['menteri', 'jalan', 'tanggung', 'nya', 'kali']","['menteri', 'jalan', 'tanggung', 'nya', 'kali']",menteri jalan tanggung nya kali
Sekolah sultan semua,Sekolah sultan semua,sekolah sultan semua,"['sekolah', 'sultan', 'semua']","['sekolah', 'sultan', 'semua']","['sekolah', 'sultan']","['sekolah', 'sultan']",sekolah sultan
Kacauu bnerr,Kacauu bnerr,kacauu bnerr,"['kacauu', 'bnerr']","['kacauu', 'bnerr']","['kacauu', 'bnerr']","['kacauu', 'bnerr']",kacauu bnerr
"Tuntut aja kepseknya pak, pelaku ko dibela, banyakan jadi kepsek ijazah mungut doang, ga kompeten",Tuntut aja kepseknya pak pelaku ko dibela banyakan jadi kepsek ijazah mungut doang ga kompeten,tuntut aja kepseknya pak pelaku ko dibela banyakan jadi kepsek ijazah mungut doang ga kompeten,"['tuntut', 'aja', 'kepseknya', 'pak', 'pelaku', 'ko', 'dibela', 'banyakan', 'jadi', 'kepsek', 'ijazah', 'mungut', 'doang', 'ga', 'kompeten']","['tuntut', 'aja', 'kepseknya', 'pak', 'pelaku', 'ko', 'dibela', 'banyakan', 'jadi', 'kepsek', 'ijazah', 'mungut', 'doang', 'enggak', 'kompeten']","['tuntut', 'aja', 'kepseknya', 'pelaku', 'ko', 'dibela', 'banyakan', 'kepsek', 'ijazah', 'mungut', 'doang', 'kompeten']","['tuntut', 'aja', 'kepseknya', 'laku', 'ko', 'bela', 'banyak', 'kepsek', 'ijazah', 'mungut', 'doang', 'kompeten']",tuntut aja kepseknya laku ko bela banyak kepsek ijazah mungut doang kompeten
👏👏👏👏Helllooozken,Helloozken,helloozken,['helloozken'],['helloozken'],['helloozken'],['helloozken'],helloozken
