Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Sbntar amat 3thnan.,Sbntar amat thnan,sbntar amat thnan,"['sbntar', 'amat', 'thnan']","['sbntar', 'amat', 'thnan']","['sbntar', 'thnan']","['sbntar', 'thnan']",sbntar thnan
Gak usahlah guru pake bilang siswa berprestasi. Dr mukanya aja udah keliatan sifatnya gmn. Berprestasi kog geng²an.,Gak usahlah guru pake bilang siswa berprestasi Dr mukanya aja udah keliatan sifatnya gmn Berprestasi kog geng an,gak usahlah guru pake bilang siswa berprestasi dr mukanya aja udah keliatan sifatnya gmn berprestasi kog geng an,"['gak', 'usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'dr', 'mukanya', 'aja', 'udah', 'keliatan', 'sifatnya', 'gmn', 'berprestasi', 'kog', 'geng', 'an']","['enggak', 'usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'dari', 'mukanya', 'aja', 'udah', 'keliatan', 'sifatnya', 'gmn', 'berprestasi', 'kog', 'geng', 'an']","['usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'mukanya', 'aja', 'udah', 'keliatan', 'sifatnya', 'gmn', 'berprestasi', 'kog', 'geng', 'an']","['usah', 'guru', 'pake', 'bilang', 'siswa', 'prestasi', 'muka', 'aja', 'udah', 'liat', 'sifat', 'gmn', 'prestasi', 'kog', 'geng', 'an']",usah guru pake bilang siswa prestasi muka aja udah liat sifat gmn prestasi kog geng an
Gara2 dia berprestasi itu jadi kelakuaannya seenaknya...dan juga perilakunya tidak mencerminkan siswa berprestasi,Gara dia berprestasi itu jadi kelakuaannya seenaknya dan juga perilakunya tidak mencerminkan siswa berprestasi,gara dia berprestasi itu jadi kelakuaannya seenaknya dan juga perilakunya tidak mencerminkan siswa berprestasi,"['gara', 'dia', 'berprestasi', 'itu', 'jadi', 'kelakuaannya', 'seenaknya', 'dan', 'juga', 'perilakunya', 'tidak', 'mencerminkan', 'siswa', 'berprestasi']","['gara', 'dia', 'berprestasi', 'itu', 'jadi', 'kelakuaannya', 'seenaknya', 'dan', 'juga', 'perilakunya', 'tidak', 'mencerminkan', 'siswa', 'berprestasi']","['gara', 'berprestasi', 'kelakuaannya', 'perilakunya', 'mencerminkan', 'siswa', 'berprestasi']","['gara', 'prestasi', 'kelakuaannya', 'perilaku', 'cermin', 'siswa', 'prestasi']",gara prestasi kelakuaannya perilaku cermin siswa prestasi
Halah bukan alasan...apalagi alasannya geng udah maksimal aja,Halah bukan alasan apalagi alasannya geng udah maksimal aja,halah bukan alasan apalagi alasannya geng udah maksimal aja,"['halah', 'bukan', 'alasan', 'apalagi', 'alasannya', 'geng', 'udah', 'maksimal', 'aja']","['halah', 'bukan', 'alasan', 'apalagi', 'alasannya', 'geng', 'udah', 'maksimal', 'aja']","['halah', 'alasan', 'alasannya', 'geng', 'udah', 'maksimal', 'aja']","['halah', 'alas', 'alas', 'geng', 'udah', 'maksimal', 'aja']",halah alas alas geng udah maksimal aja
"Pindahkan kan Kepala Sekolah nya ngk bisa mendidik anak murid dengan baik,malah dibilng anak berprestasi,anak SMP aja kok main Geng segala,belajar lah yg baik dan benar",Pindahkan kan Kepala Sekolah nya ngk bisa mendidik anak murid dengan baik malah dibilng anak berprestasi anak SMP aja kok main Geng segala belajar lah yg baik dan benar,pindahkan kan kepala sekolah nya ngk bisa mendidik anak murid dengan baik malah dibilng anak berprestasi anak smp aja kok main geng segala belajar lah yg baik dan benar,"['pindahkan', 'kan', 'kepala', 'sekolah', 'nya', 'ngk', 'bisa', 'mendidik', 'anak', 'murid', 'dengan', 'baik', 'malah', 'dibilng', 'anak', 'berprestasi', 'anak', 'smp', 'aja', 'kok', 'main', 'geng', 'segala', 'belajar', 'lah', 'yg', 'baik', 'dan', 'benar']","['pindahkan', 'kan', 'kepala', 'sekolah', 'nya', 'ngk', 'bisa', 'mendidik', 'anak', 'murid', 'dengan', 'baik', 'malah', 'dibilng', 'anak', 'berprestasi', 'anak', 'smp', 'aja', 'kok', 'main', 'geng', 'segala', 'belajar', 'lah', 'yang', 'baik', 'dan', 'benar']","['pindahkan', 'kepala', 'sekolah', 'nya', 'ngk', 'mendidik', 'anak', 'murid', 'dibilng', 'anak', 'berprestasi', 'anak', 'smp', 'aja', 'main', 'geng', 'belajar']","['pindah', 'kepala', 'sekolah', 'nya', 'ngk', 'didik', 'anak', 'murid', 'dibilng', 'anak', 'prestasi', 'anak', 'smp', 'aja', 'main', 'geng', 'ajar']",pindah kepala sekolah nya ngk didik anak murid dibilng anak prestasi anak smp aja main geng ajar
Gengnya pasti siap tempur lawan kkb,Gengnya pasti siap tempur lawan kkb,gengnya pasti siap tempur lawan kkb,"['gengnya', 'pasti', 'siap', 'tempur', 'lawan', 'kkb']","['gengnya', 'pasti', 'siap', 'tempur', 'lawan', 'kkb']","['gengnya', 'tempur', 'lawan', 'kkb']","['geng', 'tempur', 'lawan', 'kkb']",geng tempur lawan kkb
Geng2 masih sekolah aja sudah jd preman..nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur..trs apakah akan ada efek jera buat pelaku??dan korban pasti saat ini akan sangat trauma.,Geng masih sekolah aja sudah jd preman nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur trs apakah akan ada efek jera buat pelaku dan korban pasti saat ini akan sangat trauma,geng masih sekolah aja sudah jd preman nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur trs apakah akan ada efek jera buat pelaku dan korban pasti saat ini akan sangat trauma,"['geng', 'masih', 'sekolah', 'aja', 'sudah', 'jd', 'preman', 'nanti', 'klo', 'dipenjara', 'dpt', 'hukuman', 'ringan', 'karena', 'masih', 'di', 'bawah', 'umur', 'trs', 'apakah', 'akan', 'ada', 'efek', 'jera', 'buat', 'pelaku', 'dan', 'korban', 'pasti', 'saat', 'ini', 'akan', 'sangat', 'trauma']","['geng', 'masih', 'sekolah', 'aja', 'sudah', 'jadi', 'preman', 'nanti', 'kalau', 'dipenjara', 'dapat', 'hukuman', 'ringan', 'karena', 'masih', 'di', 'bawah', 'umur', 'terus', 'apakah', 'akan', 'ada', 'efek', 'jera', 'buat', 'pelaku', 'dan', 'korban', 'pasti', 'saat', 'ini', 'akan', 'sangat', 'trauma']","['geng', 'sekolah', 'aja', 'preman', 'dipenjara', 'hukuman', 'ringan', 'umur', 'efek', 'jera', 'pelaku', 'korban', 'trauma']","['geng', 'sekolah', 'aja', 'preman', 'penjara', 'hukum', 'ringan', 'umur', 'efek', 'jera', 'laku', 'korban', 'trauma']",geng sekolah aja preman penjara hukum ringan umur efek jera laku korban trauma
Salah sendiri tdk punya masa depan lagi,Salah sendiri tdk punya masa depan lagi,salah sendiri tdk punya masa depan lagi,"['salah', 'sendiri', 'tdk', 'punya', 'masa', 'depan', 'lagi']","['salah', 'sendiri', 'tidak', 'punya', 'masa', 'depan', 'lagi']",['salah'],['salah'],salah
"Kayaknya dari pihak sekolah, ingin mem-backup si perundung.
Apapun alasan sekolah, entah itu juara di kegiatan tertentu, anak berprestasi dan sebagainya, karena si perundung itu melakukan kejahatan fisik, sampai tulang rusuk korban patah, juga lehernya, maka hukum yang berlaku bukan lagi sebagai anak².  Hukum harus ditegakkan. Kalau bisa pak polisi @bagsumdaresbms , jangan menggunakan sistem peradilan anak².  Umur 14 dan 15 untuk saat ini sudah masuk kategori dewasa.  beda dengan jaman dulu.",Kayaknya dari pihak sekolah ingin mem backup si perundung Apapun alasan sekolah entah itu juara di kegiatan tertentu anak berprestasi dan sebagainya karena si perundung itu melakukan kejahatan fisik sampai tulang rusuk korban patah juga lehernya maka hukum yang berlaku bukan lagi sebagai anak Hukum harus ditegakkan Kalau bisa pak polisi jangan menggunakan sistem peradilan anak Umur dan untuk saat ini sudah masuk kategori dewasa beda dengan jaman dulu,kayaknya dari pihak sekolah ingin mem backup si perundung apapun alasan sekolah entah itu juara di kegiatan tertentu anak berprestasi dan sebagainya karena si perundung itu melakukan kejahatan fisik sampai tulang rusuk korban patah juga lehernya maka hukum yang berlaku bukan lagi sebagai anak hukum harus ditegakkan kalau bisa pak polisi jangan menggunakan sistem peradilan anak umur dan untuk saat ini sudah masuk kategori dewasa beda dengan jaman dulu,"['kayaknya', 'dari', 'pihak', 'sekolah', 'ingin', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'entah', 'itu', 'juara', 'di', 'kegiatan', 'tertentu', 'anak', 'berprestasi', 'dan', 'sebagainya', 'karena', 'si', 'perundung', 'itu', 'melakukan', 'kejahatan', 'fisik', 'sampai', 'tulang', 'rusuk', 'korban', 'patah', 'juga', 'lehernya', 'maka', 'hukum', 'yang', 'berlaku', 'bukan', 'lagi', 'sebagai', 'anak', 'hukum', 'harus', 'ditegakkan', 'kalau', 'bisa', 'pak', 'polisi', 'jangan', 'menggunakan', 'sistem', 'peradilan', 'anak', 'umur', 'dan', 'untuk', 'saat', 'ini', 'sudah', 'masuk', 'kategori', 'dewasa', 'beda', 'dengan', 'jaman', 'dulu']","['kayaknya', 'dari', 'pihak', 'sekolah', 'ingin', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'entah', 'itu', 'juara', 'di', 'kegiatan', 'tertentu', 'anak', 'berprestasi', 'dan', 'sebagainya', 'karena', 'si', 'perundung', 'itu', 'melakukan', 'kejahatan', 'fisik', 'sampai', 'tulang', 'rusuk', 'korban', 'patah', 'juga', 'lehernya', 'maka', 'hukum', 'yang', 'berlaku', 'bukan', 'lagi', 'sebagai', 'anak', 'hukum', 'harus', 'ditegakkan', 'kalau', 'bisa', 'pak', 'polisi', 'jangan', 'menggunakan', 'sistem', 'peradilan', 'anak', 'umur', 'dan', 'untuk', 'saat', 'ini', 'sudah', 'masuk', 'kategori', 'dewasa', 'beda', 'dengan', 'jaman', 'dulu']","['kayaknya', 'sekolah', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'juara', 'kegiatan', 'anak', 'berprestasi', 'si', 'perundung', 'kejahatan', 'fisik', 'tulang', 'rusuk', 'korban', 'patah', 'lehernya', 'hukum', 'berlaku', 'anak', 'hukum', 'ditegakkan', 'polisi', 'sistem', 'peradilan', 'anak', 'umur', 'masuk', 'kategori', 'dewasa', 'beda', 'jaman']","['kayak', 'sekolah', 'mem', 'backup', 'si', 'rundung', 'apa', 'alas', 'sekolah', 'juara', 'giat', 'anak', 'prestasi', 'si', 'rundung', 'jahat', 'fisik', 'tulang', 'rusuk', 'korban', 'patah', 'leher', 'hukum', 'laku', 'anak', 'hukum', 'tegak', 'polisi', 'sistem', 'adil', 'anak', 'umur', 'masuk', 'kategori', 'dewasa', 'beda', 'jaman']",kayak sekolah mem backup si rundung apa alas sekolah juara giat anak prestasi si rundung jahat fisik tulang rusuk korban patah leher hukum laku anak hukum tegak polisi sistem adil anak umur masuk kategori dewasa beda jaman
"Pihak sekolah mau ttup mata ya,seolah² terkejut...",Pihak sekolah mau ttup mata ya seolah terkejut,pihak sekolah mau ttup mata ya seolah terkejut,"['pihak', 'sekolah', 'mau', 'ttup', 'mata', 'ya', 'seolah', 'terkejut']","['pihak', 'sekolah', 'mau', 'ttup', 'mata', 'ya', 'seolah', 'terkejut']","['sekolah', 'ttup', 'mata', 'ya', 'terkejut']","['sekolah', 'ttup', 'mata', 'ya', 'kejut']",sekolah ttup mata ya kejut
