Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Mampus lu makan tuh kena tangkep!,Mampus lu makan tuh kena tangkep,mampus lu makan tuh kena tangkep,"['mampus', 'lu', 'makan', 'tuh', 'kena', 'tangkep']","['mampus', 'kamu', 'makan', 'tuh', 'kena', 'tangkep']","['mampus', 'makan', 'tuh', 'kena', 'tangkep']","['mampus', 'makan', 'tuh', 'kena', 'tangkep']",mampus makan tuh kena tangkep
Hukum saja biar jera jangan sudah nangis minta maaf dilepas lagi,Hukum saja biar jera jangan sudah nangis minta maaf dilepas lagi,hukum saja biar jera jangan sudah nangis minta maaf dilepas lagi,"['hukum', 'saja', 'biar', 'jera', 'jangan', 'sudah', 'nangis', 'minta', 'maaf', 'dilepas', 'lagi']","['hukum', 'saja', 'biar', 'jera', 'jangan', 'sudah', 'nangis', 'minta', 'maaf', 'dilepas', 'lagi']","['hukum', 'biar', 'jera', 'nangis', 'maaf', 'dilepas']","['hukum', 'biar', 'jera', 'nang', 'maaf', 'lepas']",hukum biar jera nang maaf lepas
mantapppp penjarakan,mantapp penjarakan,mantapp penjarakan,"['mantapp', 'penjarakan']","['mantapp', 'penjarakan']","['mantapp', 'penjarakan']","['mantapp', 'penjara']",mantapp penjara
"Tangani dlu palaknyo,patahke kaki tangannyo rabanan itu baru di proses hukum,biar yg laen idak melok melok lgi kasus cak ini",Tangani dlu palaknyo patahke kaki tangannyo rabanan itu baru di proses hukum biar yg laen idak melok melok lgi kasus cak ini,tangani dlu palaknyo patahke kaki tangannyo rabanan itu baru di proses hukum biar yg laen idak melok melok lgi kasus cak ini,"['tangani', 'dlu', 'palaknyo', 'patahke', 'kaki', 'tangannyo', 'rabanan', 'itu', 'baru', 'di', 'proses', 'hukum', 'biar', 'yg', 'laen', 'idak', 'melok', 'melok', 'lgi', 'kasus', 'cak', 'ini']","['tangani', 'dulu', 'palaknyo', 'patahke', 'kaki', 'tangannyo', 'rabanan', 'itu', 'baru', 'di', 'proses', 'hukum', 'biar', 'yang', 'lain', 'idak', 'melok', 'melok', 'lgi', 'kasus', 'cak', 'ini']","['tangani', 'palaknyo', 'patahke', 'kaki', 'tangannyo', 'rabanan', 'proses', 'hukum', 'biar', 'idak', 'melok', 'melok', 'lgi', 'cak']","['tangan', 'palaknyo', 'patahke', 'kaki', 'tangannyo', 'raban', 'proses', 'hukum', 'biar', 'idak', 'lok', 'lok', 'lgi', 'cak']",tangan palaknyo patahke kaki tangannyo raban proses hukum biar idak lok lok lgi cak
Kelakuan bocah anjing,Kelakuan bocah anjing,kelakuan bocah anjing,"['kelakuan', 'bocah', 'anjing']","['kelakuan', 'bocah', 'anjing']","['kelakuan', 'bocah', 'anjing']","['laku', 'bocah', 'anjing']",laku bocah anjing
penjarain aja. jngan di ksih ampun.,penjarain aja jngan di ksih ampun,penjarain aja jngan di ksih ampun,"['penjarain', 'aja', 'jngan', 'di', 'ksih', 'ampun']","['penjarain', 'aja', 'jngan', 'di', 'kasih', 'ampun']","['penjarain', 'aja', 'jngan', 'kasih', 'ampun']","['penjarain', 'aja', 'jngan', 'kasih', 'ampun']",penjarain aja jngan kasih ampun
Cara berpakaian 3 anak itu memang bukan seperti siswa pelajar baik.apalgi tingkah mereka...padahal baru SMP!!!,Cara berpakaian anak itu memang bukan seperti siswa pelajar baik apalgi tingkah mereka padahal baru SMP,cara berpakaian anak itu memang bukan seperti siswa pelajar baik apalgi tingkah mereka padahal baru smp,"['cara', 'berpakaian', 'anak', 'itu', 'memang', 'bukan', 'seperti', 'siswa', 'pelajar', 'baik', 'apalgi', 'tingkah', 'mereka', 'padahal', 'baru', 'smp']","['cara', 'berpakaian', 'anak', 'itu', 'memang', 'bukan', 'seperti', 'siswa', 'pelajar', 'baik', 'apalgi', 'tingkah', 'mereka', 'padahal', 'baru', 'smp']","['berpakaian', 'anak', 'siswa', 'pelajar', 'apalgi', 'tingkah', 'smp']","['pakai', 'anak', 'siswa', 'ajar', 'apalgi', 'tingkah', 'smp']",pakai anak siswa ajar apalgi tingkah smp
"jangan di enjok ampon budak setan ini, payah men hokom di indonesia yang cakini maseh di lindungi materai 6000 selesai urusan, daktau anak cak binatang tingkah laku katek otakk😡",jangan di enjok ampon budak setan ini payah men hokom di indonesia yang cakini maseh di lindungi materai selesai urusan daktau anak cak binatang tingkah laku katek otakk,jangan di enjok ampon budak setan ini payah men hokom di indonesia yang cakini maseh di lindungi materai selesai urusan daktau anak cak binatang tingkah laku katek otakk,"['jangan', 'di', 'enjok', 'ampon', 'budak', 'setan', 'ini', 'payah', 'men', 'hokom', 'di', 'indonesia', 'yang', 'cakini', 'maseh', 'di', 'lindungi', 'materai', 'selesai', 'urusan', 'daktau', 'anak', 'cak', 'binatang', 'tingkah', 'laku', 'katek', 'otakk']","['jangan', 'di', 'enjok', 'ampon', 'budak', 'setan', 'ini', 'payah', 'men', 'hokom', 'di', 'indonesia', 'yang', 'cakini', 'maseh', 'di', 'lindungi', 'materai', 'selesai', 'urusan', 'daktau', 'anak', 'cak', 'binatang', 'tingkah', 'laku', 'katek', 'otakk']","['enjok', 'ampon', 'budak', 'setan', 'payah', 'men', 'hokom', 'indonesia', 'cakini', 'maseh', 'lindungi', 'materai', 'selesai', 'urusan', 'daktau', 'anak', 'cak', 'binatang', 'tingkah', 'laku', 'katek', 'otakk']","['enjok', 'ampon', 'budak', 'setan', 'payah', 'men', 'hokom', 'indonesia', 'cakini', 'maseh', 'lindung', 'materai', 'selesai', 'urus', 'daktau', 'anak', 'cak', 'binatang', 'tingkah', 'laku', 'katek', 'otakk']",enjok ampon budak setan payah men hokom indonesia cakini maseh lindung materai selesai urus daktau anak cak binatang tingkah laku katek otakk
"jang nk d fikirke masalah masih pelajar,dk katek toleransi pak pokoknyo sidang sesuai hukum untuk bajingan itu !!",jang nk fikirke masalah masih pelajar dk katek toleransi pak pokoknyo sidang sesuai hukum untuk bajingan itu,jang nk fikirke masalah masih pelajar dk katek toleransi pak pokoknyo sidang sesuai hukum untuk bajingan itu,"['jang', 'nk', 'fikirke', 'masalah', 'masih', 'pelajar', 'dk', 'katek', 'toleransi', 'pak', 'pokoknyo', 'sidang', 'sesuai', 'hukum', 'untuk', 'bajingan', 'itu']","['jang', 'nk', 'fikirke', 'masalah', 'masih', 'pelajar', 'dk', 'katek', 'toleransi', 'pak', 'pokoknyo', 'sidang', 'sesuai', 'hukum', 'untuk', 'bajingan', 'itu']","['jang', 'nk', 'fikirke', 'pelajar', 'dk', 'katek', 'toleransi', 'pokoknyo', 'sidang', 'sesuai', 'hukum', 'bajingan']","['jang', 'nk', 'fikirke', 'ajar', 'dk', 'katek', 'toleransi', 'pokoknyo', 'sidang', 'sesuai', 'hukum', 'bajing']",jang nk fikirke ajar dk katek toleransi pokoknyo sidang sesuai hukum bajing
Mampus kalian anak2 badung😤,Mampus kalian anak badung,mampus kalian anak badung,"['mampus', 'kalian', 'anak', 'badung']","['mampus', 'kalian', 'anak', 'badung']","['mampus', 'anak', 'badung']","['mampus', 'anak', 'badung']",mampus anak badung
Mampus kau,Mampus kau,mampus kau,"['mampus', 'kau']","['mampus', 'kau']","['mampus', 'kau']","['mampus', 'kau']",mampus kau
Alhamdulilah mampus masukin ajh pak ke jeruzibesi,Alhamdulilah mampus masukin ajh pak ke jeruzibesi,alhamdulilah mampus masukin ajh pak ke jeruzibesi,"['alhamdulilah', 'mampus', 'masukin', 'ajh', 'pak', 'ke', 'jeruzibesi']","['alhamdulilah', 'mampus', 'masukin', 'ajah', 'pak', 'ke', 'jeruji besi']","['alhamdulilah', 'mampus', 'masukin', 'ajah', 'jeruji besi']","['alhamdulilah', 'mampus', 'masukin', 'ajah', 'jeruji besi']",alhamdulilah mampus masukin ajah jeruji besi
neh kauu neh kauuu,neh kauu neh kauu,neh kauu neh kauu,"['neh', 'kauu', 'neh', 'kauu']","['neh', 'kauu', 'neh', 'kauu']","['neh', 'kauu', 'neh', 'kauu']","['neh', 'kauu', 'neh', 'kauu']",neh kauu neh kauu
Keluarke dari sekolah pak musukke kepanjaro be biar dia tau rasa.enak enak mukuli anak orang emangnya dk ada hukum di negara ini.👊👊👊👊,Keluarke dari sekolah pak musukke kepanjaro be biar dia tau rasa enak enak mukuli anak orang emangnya dk ada hukum di negara ini,keluarke dari sekolah pak musukke kepanjaro be biar dia tau rasa enak enak mukuli anak orang emangnya dk ada hukum di negara ini,"['keluarke', 'dari', 'sekolah', 'pak', 'musukke', 'kepanjaro', 'be', 'biar', 'dia', 'tau', 'rasa', 'enak', 'enak', 'mukuli', 'anak', 'orang', 'emangnya', 'dk', 'ada', 'hukum', 'di', 'negara', 'ini']","['keluarke', 'dari', 'sekolah', 'pak', 'musukke', 'kepanjaro', 'be', 'biar', 'dia', 'tau', 'rasa', 'enak', 'enak', 'mukuli', 'anak', 'orang', 'emangnya', 'dk', 'ada', 'hukum', 'di', 'negara', 'ini']","['keluarke', 'sekolah', 'musukke', 'kepanjaro', 'be', 'biar', 'tau', 'enak', 'enak', 'mukuli', 'anak', 'orang', 'emangnya', 'dk', 'hukum', 'negara']","['keluarke', 'sekolah', 'musukke', 'kepanjaro', 'be', 'biar', 'tau', 'enak', 'enak', 'mukuli', 'anak', 'orang', 'emang', 'dk', 'hukum', 'negara']",keluarke sekolah musukke kepanjaro be biar tau enak enak mukuli anak orang emang dk hukum negara
