Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Kalo sampe ada luka tusuk itu bukan bullying tp kriminal.,Kalo sampe ada luka tusuk itu bukan bullying tp kriminal,kalo sampe ada luka tusuk itu bukan bullying tp kriminal,"['kalo', 'sampe', 'ada', 'luka', 'tusuk', 'itu', 'bukan', 'bullying', 'tp', 'kriminal']","['kalau', 'sampe', 'ada', 'luka', 'tusuk', 'itu', 'bukan', 'bullying', 'tapi', 'kriminal']","['sampe', 'luka', 'tusuk', 'bullying', 'kriminal']","['sampe', 'luka', 'tusuk', 'bullying', 'kriminal']",sampe luka tusuk bullying kriminal
Pentingnya kasih makan anak dgn uang Halal,Pentingnya kasih makan anak dgn uang Halal,pentingnya kasih makan anak dgn uang halal,"['pentingnya', 'kasih', 'makan', 'anak', 'dgn', 'uang', 'halal']","['pentingnya', 'kasih', 'makan', 'anak', 'dengan', 'uang', 'halal']","['kasih', 'makan', 'anak', 'uang', 'halal']","['kasih', 'makan', 'anak', 'uang', 'halal']",kasih makan anak uang halal
@listyosigitprabowo @kpai_official berani gak ungkap kasus ini?!,official berani gak ungkap kasus ini,official berani gak ungkap kasus ini,"['official', 'berani', 'gak', 'ungkap', 'kasus', 'ini']","['official', 'berani', 'enggak', 'ungkap', 'kasus', 'ini']","['official', 'berani']","['official', 'berani']",official berani
"Warungnya dan pemiliknya kudu ikut bertanggung jwb dg keabiasaan ""bullying"" mereka selama ini🥵😡Kok dibiarkan bukan dilaporkan?? takut ya cuan2 ga masuk ke warungnya itu??",Warungnya dan pemiliknya kudu ikut bertanggung jwb dg keabiasaan bullying mereka selama ini Kok dibiarkan bukan dilaporkan takut ya cuan ga masuk ke warungnya itu,warungnya dan pemiliknya kudu ikut bertanggung jwb dg keabiasaan bullying mereka selama ini kok dibiarkan bukan dilaporkan takut ya cuan ga masuk ke warungnya itu,"['warungnya', 'dan', 'pemiliknya', 'kudu', 'ikut', 'bertanggung', 'jwb', 'dg', 'keabiasaan', 'bullying', 'mereka', 'selama', 'ini', 'kok', 'dibiarkan', 'bukan', 'dilaporkan', 'takut', 'ya', 'cuan', 'ga', 'masuk', 'ke', 'warungnya', 'itu']","['warungnya', 'dan', 'pemiliknya', 'kudu', 'ikut', 'bertanggung', 'jwb', 'dengan', 'keabiasaan', 'bullying', 'mereka', 'selama', 'ini', 'kok', 'dibiarkan', 'bukan', 'dilaporkan', 'takut', 'ya', 'cuan', 'enggak', 'masuk', 'ke', 'warungnya', 'itu']","['warungnya', 'pemiliknya', 'kudu', 'bertanggung', 'jwb', 'keabiasaan', 'bullying', 'dibiarkan', 'dilaporkan', 'takut', 'ya', 'cuan', 'masuk', 'warungnya']","['warung', 'milik', 'kudu', 'tanggung', 'jwb', 'keabiasaan', 'bullying', 'biar', 'lapor', 'takut', 'ya', 'cuan', 'masuk', 'warung']",warung milik kudu tanggung jwb keabiasaan bullying biar lapor takut ya cuan masuk warung
ROASTING jg termasuk bully???,ROASTING jg termasuk bully,roasting jg termasuk bully,"['roasting', 'jg', 'termasuk', 'bully']","['roasting', 'juga', 'termasuk', 'bully']","['roasting', 'bully']","['roasting', 'bully']",roasting bully
Ini kasus anaknya Vincent kan min?,Ini kasus anaknya Vincent kan min,ini kasus anaknya vincent kan min,"['ini', 'kasus', 'anaknya', 'vincent', 'kan', 'min']","['ini', 'kasus', 'anaknya', 'vincent', 'kan', 'admin']","['anaknya', 'vincent', 'admin']","['anak', 'vincent', 'admin']",anak vincent admin
"Jangan karena alasan masih di bawah umur terus g di proses hukum,jangan mau damai pihak korban laporkan ke berwajib bui menanti mereka",Jangan karena alasan masih di bawah umur terus di proses hukum jangan mau damai pihak korban laporkan ke berwajib bui menanti mereka,jangan karena alasan masih di bawah umur terus di proses hukum jangan mau damai pihak korban laporkan ke berwajib bui menanti mereka,"['jangan', 'karena', 'alasan', 'masih', 'di', 'bawah', 'umur', 'terus', 'di', 'proses', 'hukum', 'jangan', 'mau', 'damai', 'pihak', 'korban', 'laporkan', 'ke', 'berwajib', 'bui', 'menanti', 'mereka']","['jangan', 'karena', 'alasan', 'masih', 'di', 'bawah', 'umur', 'terus', 'di', 'proses', 'hukum', 'jangan', 'mau', 'damai', 'pihak', 'korban', 'laporkan', 'ke', 'berwajib', 'bui', 'menanti', 'mereka']","['alasan', 'umur', 'proses', 'hukum', 'damai', 'korban', 'laporkan', 'berwajib', 'bui']","['alas', 'umur', 'proses', 'hukum', 'damai', 'korban', 'lapor', 'wajib', 'bui']",alas umur proses hukum damai korban lapor wajib bui
"Pihak Korban jangan mau berdamai. Harus proses hukum. Guna memberikan efek jera. Walau pelaku anak dibawah umur.
Kelakuan seperti inilah bibit bibit pelaku kriminalitas.",Pihak Korban jangan mau berdamai Harus proses hukum Guna memberikan efek jera Walau pelaku anak dibawah umur Kelakuan seperti inilah bibit bibit pelaku kriminalitas,pihak korban jangan mau berdamai harus proses hukum guna memberikan efek jera walau pelaku anak dibawah umur kelakuan seperti inilah bibit bibit pelaku kriminalitas,"['pihak', 'korban', 'jangan', 'mau', 'berdamai', 'harus', 'proses', 'hukum', 'guna', 'memberikan', 'efek', 'jera', 'walau', 'pelaku', 'anak', 'dibawah', 'umur', 'kelakuan', 'seperti', 'inilah', 'bibit', 'bibit', 'pelaku', 'kriminalitas']","['pihak', 'korban', 'jangan', 'mau', 'berdamai', 'harus', 'proses', 'hukum', 'berguna', 'memberikan', 'efek', 'jera', 'walau', 'pelaku', 'anak', 'dibawah', 'umur', 'kelakuan', 'seperti', 'inilah', 'bibit', 'bibit', 'pelaku', 'kriminalitas']","['korban', 'berdamai', 'proses', 'hukum', 'berguna', 'efek', 'jera', 'pelaku', 'anak', 'dibawah', 'umur', 'kelakuan', 'bibit', 'bibit', 'pelaku', 'kriminalitas']","['korban', 'damai', 'proses', 'hukum', 'guna', 'efek', 'jera', 'laku', 'anak', 'bawah', 'umur', 'laku', 'bibit', 'bibit', 'laku', 'kriminalitas']",korban damai proses hukum guna efek jera laku anak bawah umur laku bibit bibit laku kriminalitas
Dikasih makan apa tuh anak sampai seperti itu.....😢😢😢 maka kasih makan dari makanan yg halal biar lahir generasi sholah dan taqwa pada Allah,Dikasih makan apa tuh anak sampai seperti itu maka kasih makan dari makanan yg halal biar lahir generasi sholah dan taqwa pada Allah,dikasih makan apa tuh anak sampai seperti itu maka kasih makan dari makanan yg halal biar lahir generasi sholah dan taqwa pada allah,"['dikasih', 'makan', 'apa', 'tuh', 'anak', 'sampai', 'seperti', 'itu', 'maka', 'kasih', 'makan', 'dari', 'makanan', 'yg', 'halal', 'biar', 'lahir', 'generasi', 'sholah', 'dan', 'taqwa', 'pada', 'allah']","['dikasih', 'makan', 'apa', 'tuh', 'anak', 'sampai', 'seperti', 'itu', 'maka', 'kasih', 'makan', 'dari', 'makanan', 'yang', 'halal', 'biar', 'lahir', 'generasi', 'sholah', 'dan', 'taqwa', 'pada', 'allah']","['dikasih', 'makan', 'tuh', 'anak', 'kasih', 'makan', 'makanan', 'halal', 'biar', 'lahir', 'generasi', 'sholah', 'taqwa', 'allah']","['kasih', 'makan', 'tuh', 'anak', 'kasih', 'makan', 'makan', 'halal', 'biar', 'lahir', 'generasi', 'sholah', 'taqwa', 'allah']",kasih makan tuh anak kasih makan makan halal biar lahir generasi sholah taqwa allah
Begini lahh kaum homo berani nya keroyokan,Begini lahh kaum homo berani nya keroyokan,begini lahh kaum homo berani nya keroyokan,"['begini', 'lahh', 'kaum', 'homo', 'berani', 'nya', 'keroyokan']","['begini', 'lahh', 'kaum', 'homo', 'berani', 'nya', 'keroyokan']","['lahh', 'kaum', 'homo', 'berani', 'nya', 'keroyokan']","['lahh', 'kaum', 'homo', 'berani', 'nya', 'keroyokan']",lahh kaum homo berani nya keroyokan
usut tuntas,usut tuntas,usut tuntas,"['usut', 'tuntas']","['usut', 'tuntas']","['usut', 'tuntas']","['usut', 'tuntas']",usut tuntas
"Helehhhh, niru2 drakor nih mah.... Sikat aja itu pelakunya, meskipun anak pejabat kek,...",Helehh niru drakor nih mah Sikat aja itu pelakunya meskipun anak pejabat kek,helehh niru drakor nih mah sikat aja itu pelakunya meskipun anak pejabat kek,"['helehh', 'niru', 'drakor', 'nih', 'mah', 'sikat', 'aja', 'itu', 'pelakunya', 'meskipun', 'anak', 'pejabat', 'kek']","['helehh', 'niru', 'drakor', 'ini', 'mah', 'sikat', 'aja', 'itu', 'pelakunya', 'meskipun', 'anak', 'pejabat', 'kayak']","['helehh', 'niru', 'drakor', 'mah', 'sikat', 'aja', 'pelakunya', 'anak', 'pejabat', 'kayak']","['helehh', 'niru', 'drakor', 'mah', 'sikat', 'aja', 'laku', 'anak', 'jabat', 'kayak']",helehh niru drakor mah sikat aja laku anak jabat kayak
Ya' ampun mana sekolah inter lagi.,Ya ampun mana sekolah inter lagi,ya ampun mana sekolah inter lagi,"['ya', 'ampun', 'mana', 'sekolah', 'inter', 'lagi']","['ya', 'ampun', 'mana', 'sekolah', 'inter', 'lagi']","['ya', 'ampun', 'sekolah', 'inter']","['ya', 'ampun', 'sekolah', 'inter']",ya ampun sekolah inter
Sebaiknya kalo ada keluhan anak tentang sekolahnya segera pindahkan. Bshaya,Sebaiknya kalo ada keluhan anak tentang sekolahnya segera pindahkan Bshaya,sebaiknya kalo ada keluhan anak tentang sekolahnya segera pindahkan bshaya,"['sebaiknya', 'kalo', 'ada', 'keluhan', 'anak', 'tentang', 'sekolahnya', 'segera', 'pindahkan', 'bshaya']","['sebaiknya', 'kalau', 'ada', 'keluhan', 'anak', 'tentang', 'sekolahnya', 'segera', 'pindahkan', 'bshaya']","['keluhan', 'anak', 'sekolahnya', 'pindahkan', 'bshaya']","['keluh', 'anak', 'sekolah', 'pindah', 'bshaya']",keluh anak sekolah pindah bshaya
Kurikulum Merdeka....,Kurikulum Merdeka,kurikulum merdeka,"['kurikulum', 'merdeka']","['kurikulum', 'merdeka']","['kurikulum', 'merdeka']","['kurikulum', 'merdeka']",kurikulum merdeka
Spil dong pelakunya.,Spil dong pelakunya,spil dong pelakunya,"['spil', 'dong', 'pelakunya']","['spil', 'dong', 'pelakunya']","['spil', 'pelakunya']","['spil', 'laku']",spil laku
Duh duh anak mami papi,Duh duh anak mami papi,duh duh anak mami papi,"['duh', 'duh', 'anak', 'mami', 'papi']","['aduh', 'aduh', 'anak', 'mami', 'papi']","['aduh', 'aduh', 'anak', 'mami', 'papi']","['aduh', 'aduh', 'anak', 'mami', 'papi']",aduh aduh anak mami papi
PIHAK SEKOLAH dan GURU HARUS IKUT BER TANGGUNG JAWAB GURU,PIHAK SEKOLAH dan GURU HARUS IKUT BER TANGGUNG JAWAB GURU,pihak sekolah dan guru harus ikut ber tanggung jawab guru,"['pihak', 'sekolah', 'dan', 'guru', 'harus', 'ikut', 'ber', 'tanggung', 'jawab', 'guru']","['pihak', 'sekolah', 'dan', 'guru', 'harus', 'ikut', 'ber', 'tanggung', 'jawab', 'guru']","['sekolah', 'guru', 'ber', 'tanggung', 'guru']","['sekolah', 'guru', 'ber', 'tanggung', 'guru']",sekolah guru ber tanggung guru
KANDANGI AJA DAN JANGAN DI LEPAS LIARKAN LAGI,KANDANGI AJA DAN JANGAN DI LEPAS LIARKAN LAGI,kandangi aja dan jangan di lepas liarkan lagi,"['kandangi', 'aja', 'dan', 'jangan', 'di', 'lepas', 'liarkan', 'lagi']","['kandangi', 'aja', 'dan', 'jangan', 'di', 'lepas', 'liarkan', 'lagi']","['kandangi', 'aja', 'lepas', 'liarkan']","['kandang', 'aja', 'lepas', 'liar']",kandang aja lepas liar
Aduh jgn lg ada perundungan.kasian😭😭😭,Aduh jgn lg ada perundungan kasian,aduh jgn lg ada perundungan kasian,"['aduh', 'jgn', 'lg', 'ada', 'perundungan', 'kasian']","['aduh', 'jangan', 'lagi', 'ada', 'perundungan', 'kasian']","['aduh', 'perundungan', 'kasian']","['aduh', 'rundung', 'kasi']",aduh rundung kasi
Gmana gw ga mau racist. Anjir,Gmana gw ga mau racist Anjir,gmana gw ga mau racist anjir,"['gmana', 'gw', 'ga', 'mau', 'racist', 'anjir']","['gmana', 'aku', 'enggak', 'mau', 'racist', 'anjir']","['gmana', 'racist', 'anjir']","['gmana', 'racist', 'anjir']",gmana racist anjir
Pasti kasusnya akan damai 😂👏,Pasti kasusnya akan damai,pasti kasusnya akan damai,"['pasti', 'kasusnya', 'akan', 'damai']","['pasti', 'kasusnya', 'akan', 'damai']","['kasusnya', 'damai']","['kasus', 'damai']",kasus damai
Stop perundungan !!!,Stop perundungan,stop perundungan,"['stop', 'perundungan']","['stop', 'perundungan']","['stop', 'perundungan']","['stop', 'rundung']",stop rundung
Tlg diusut pak.. @kpai_official @dpr_ri ....,Tlg diusut pak official ri,tlg diusut pak official ri,"['tlg', 'diusut', 'pak', 'official', 'ri']","['tlg', 'diusut', 'pak', 'official', 'ri']","['tlg', 'diusut', 'official', 'ri']","['tlg', 'usut', 'official', 'ri']",tlg usut official ri
"Etika moral sudah tergerus , pas",Etika moral sudah tergerus pas,etika moral sudah tergerus pas,"['etika', 'moral', 'sudah', 'tergerus', 'pas']","['etika', 'moral', 'sudah', 'tergerus', 'pas']","['etika', 'moral', 'tergerus', 'pas']","['etika', 'moral', 'gerus', 'pas']",etika moral gerus pas
Kok sampai 9 generasi ngga ketahuan pihak sekolah 😮,Kok sampai generasi ngga ketahuan pihak sekolah,kok sampai generasi ngga ketahuan pihak sekolah,"['kok', 'sampai', 'generasi', 'ngga', 'ketahuan', 'pihak', 'sekolah']","['kok', 'sampai', 'generasi', 'ngga', 'ketahuan', 'pihak', 'sekolah']","['generasi', 'ngga', 'ketahuan', 'sekolah']","['generasi', 'ngga', 'tahu', 'sekolah']",generasi ngga tahu sekolah
PROSES!,PROSES,proses,['proses'],['proses'],['proses'],['proses'],proses
"PREMAN KOK BISA TERBENTUK DISRKOLAH,,,SEKOLAH ELIT LAGI😮😮😮😮",PREMAN KOK BISA TERBENTUK DISRKOLAH SEKOLAH ELIT LAGI,preman kok bisa terbentuk disrkolah sekolah elit lagi,"['preman', 'kok', 'bisa', 'terbentuk', 'disrkolah', 'sekolah', 'elit', 'lagi']","['preman', 'kok', 'bisa', 'terbentuk', 'disrkolah', 'sekolah', 'elit', 'lagi']","['preman', 'terbentuk', 'disrkolah', 'sekolah', 'elit']","['preman', 'bentuk', 'disrkolah', 'sekolah', 'elit']",preman bentuk disrkolah sekolah elit
Perudung nya hrs di sel,Perudung nya hrs di sel,perudung nya hrs di sel,"['perudung', 'nya', 'hrs', 'di', 'sel']","['perudung', 'nya', 'harus', 'di', 'sel']","['perudung', 'nya', 'sel']","['perudung', 'nya', 'sel']",perudung nya sel
orang tua korban khususnya ayah klo ga terima mgkn polisi bs memfasilitasi open ring free fighting dengan mereka2...,orang tua korban khususnya ayah klo ga terima mgkn polisi bs memfasilitasi open ring free fighting dengan mereka,orang tua korban khususnya ayah klo ga terima mgkn polisi bs memfasilitasi open ring free fighting dengan mereka,"['orang', 'tua', 'korban', 'khususnya', 'ayah', 'klo', 'ga', 'terima', 'mgkn', 'polisi', 'bs', 'memfasilitasi', 'open', 'ring', 'free', 'fighting', 'dengan', 'mereka']","['orang', 'tua', 'korban', 'khususnya', 'ayah', 'kalau', 'enggak', 'terima', 'mungkin', 'polisi', 'bisa', 'memfasilitasi', 'open', 'ring', 'free', 'fighting', 'dengan', 'mereka']","['orang', 'tua', 'korban', 'ayah', 'terima', 'polisi', 'memfasilitasi', 'open', 'ring', 'free', 'fighting']","['orang', 'tua', 'korban', 'ayah', 'terima', 'polisi', 'fasilitas', 'open', 'ring', 'free', 'fighting']",orang tua korban ayah terima polisi fasilitas open ring free fighting
vincent rompies kah?,vincent rompies kah,vincent rompies kah,"['vincent', 'rompies', 'kah']","['vincent', 'rompies', 'kah']","['vincent', 'rompies', 'kah']","['vincent', 'rompies', 'kah']",vincent rompies kah
Pasti damai dong🔥🔥🔥,Pasti damai dong,pasti damai dong,"['pasti', 'damai', 'dong']","['pasti', 'damai', 'dong']",['damai'],['damai'],damai
Biasa kan lh..membuly sebatas candaan sesama teman.. klw udh main fisik' itu kriminal.. hrs ada efek jera buat para pelaku.. ga perduli mrk ank artis atw pejabat.,Biasa kan lh membuly sebatas candaan sesama teman klw udh main fisik itu kriminal hrs ada efek jera buat para pelaku ga perduli mrk ank artis atw pejabat,biasa kan lh membuly sebatas candaan sesama teman klw udh main fisik itu kriminal hrs ada efek jera buat para pelaku ga perduli mrk ank artis atw pejabat,"['biasa', 'kan', 'lh', 'membuly', 'sebatas', 'candaan', 'sesama', 'teman', 'klw', 'udh', 'main', 'fisik', 'itu', 'kriminal', 'hrs', 'ada', 'efek', 'jera', 'buat', 'para', 'pelaku', 'ga', 'perduli', 'mrk', 'ank', 'artis', 'atw', 'pejabat']","['biasa', 'kan', 'lh', 'membuly', 'sebatas', 'candaan', 'sesama', 'teman', 'kalau', 'udah', 'main', 'fisik', 'itu', 'kriminal', 'harus', 'ada', 'efek', 'jera', 'buat', 'para', 'pelaku', 'enggak', 'perduli', 'mrk', 'anak', 'artis', 'atw', 'pejabat']","['lh', 'membuly', 'sebatas', 'candaan', 'teman', 'udah', 'main', 'fisik', 'kriminal', 'efek', 'jera', 'pelaku', 'perduli', 'mrk', 'anak', 'artis', 'atw', 'pejabat']","['lh', 'membuly', 'batas', 'canda', 'teman', 'udah', 'main', 'fisik', 'kriminal', 'efek', 'jera', 'laku', 'duli', 'mrk', 'anak', 'artis', 'atw', 'jabat']",lh membuly batas canda teman udah main fisik kriminal efek jera laku duli mrk anak artis atw jabat
Astaqfirloh 😢😢😢😢,Astaqfirloh,astaqfirloh,['astaqfirloh'],['astaqfirloh'],['astaqfirloh'],['astaqfirloh'],astaqfirloh
Udah jangan di panjarain kasih aja ke warga biar warga yg ambil alih🔥🔥,Udah jangan di panjarain kasih aja ke warga biar warga yg ambil alih,udah jangan di panjarain kasih aja ke warga biar warga yg ambil alih,"['udah', 'jangan', 'di', 'panjarain', 'kasih', 'aja', 'ke', 'warga', 'biar', 'warga', 'yg', 'ambil', 'alih']","['udah', 'jangan', 'di', 'panjarain', 'kasih', 'aja', 'ke', 'warga', 'biar', 'warga', 'yang', 'ambil', 'alih']","['udah', 'panjarain', 'kasih', 'aja', 'warga', 'biar', 'warga', 'ambil', 'alih']","['udah', 'panjarain', 'kasih', 'aja', 'warga', 'biar', 'warga', 'ambil', 'alih']",udah panjarain kasih aja warga biar warga ambil alih
Penjarakan biar enak,Penjarakan biar enak,penjarakan biar enak,"['penjarakan', 'biar', 'enak']","['penjarakan', 'biar', 'enak']","['penjarakan', 'biar', 'enak']","['penjara', 'biar', 'enak']",penjara biar enak
Pake di sensor.. di akun lain ga disensor matanya,Pake di sensor di akun lain ga disensor matanya,pake di sensor di akun lain ga disensor matanya,"['pake', 'di', 'sensor', 'di', 'akun', 'lain', 'ga', 'disensor', 'matanya']","['pake', 'di', 'sensor', 'di', 'akun', 'lain', 'enggak', 'disensor', 'matanya']","['pake', 'sensor', 'akun', 'disensor', 'matanya']","['pake', 'sensor', 'akun', 'sensor', 'mata']",pake sensor akun sensor mata
"40 orang itu diadu aja antar satu dengan lainya, dibuatkan ring khusus buat boxing, manatau ada bakat,",orang itu diadu aja antar satu dengan lainya dibuatkan ring khusus buat boxing manatau ada bakat,orang itu diadu aja antar satu dengan lainya dibuatkan ring khusus buat boxing manatau ada bakat,"['orang', 'itu', 'diadu', 'aja', 'antar', 'satu', 'dengan', 'lainya', 'dibuatkan', 'ring', 'khusus', 'buat', 'boxing', 'manatau', 'ada', 'bakat']","['orang', 'itu', 'diadu', 'aja', 'antar', 'satu', 'dengan', 'lainya', 'dibuatkan', 'ring', 'khusus', 'buat', 'boxing', 'manatau', 'ada', 'bakat']","['orang', 'diadu', 'aja', 'lainya', 'dibuatkan', 'ring', 'khusus', 'boxing', 'manatau', 'bakat']","['orang', 'adu', 'aja', 'lai', 'buat', 'ring', 'khusus', 'boxing', 'manatau', 'bakat']",orang adu aja lai buat ring khusus boxing manatau bakat
GT = Gank Tai,GT Gank Tai,gt gank tai,"['gt', 'gank', 'tai']","['gitu', 'gank', 'tai']","['gitu', 'gank', 'tai']","['gitu', 'gank', 'tai']",gitu gank tai
bisa ketemu mereka dimana ya? pengen ajak mereka main ke blakang stasiun Tg.Priok...,bisa ketemu mereka dimana ya pengen ajak mereka main ke blakang stasiun Tg Priok,bisa ketemu mereka dimana ya pengen ajak mereka main ke blakang stasiun tg priok,"['bisa', 'ketemu', 'mereka', 'dimana', 'ya', 'pengen', 'ajak', 'mereka', 'main', 'ke', 'blakang', 'stasiun', 'tg', 'priok']","['bisa', 'ketemu', 'mereka', 'dimana', 'ya', 'pengen', 'ajak', 'mereka', 'main', 'ke', 'blakang', 'stasiun', 'tg', 'priok']","['ketemu', 'dimana', 'ya', 'pengen', 'ajak', 'main', 'blakang', 'stasiun', 'tg', 'priok']","['ketemu', 'mana', 'ya', 'ken', 'ajak', 'main', 'blakang', 'stasiun', 'tg', 'priok']",ketemu mana ya ken ajak main blakang stasiun tg priok
Nga kapok2 ni anak2 yaa mau sok jagoan,Nga kapok ni anak yaa mau sok jagoan,nga kapok ni anak yaa mau sok jagoan,"['nga', 'kapok', 'ni', 'anak', 'yaa', 'mau', 'sok', 'jagoan']","['nga', 'kapok', 'ni', 'anak', 'yaa', 'mau', 'sok', 'jagoan']","['nga', 'kapok', 'ni', 'anak', 'yaa', 'sok', 'jagoan']","['nga', 'kapok', 'ni', 'anak', 'yaa', 'sok', 'jago']",nga kapok ni anak yaa sok jago
Bukannya biasa aja ini ya.. dr jaman gua smp juga ada beginian biasa2 aja deh.. lemah amat anak jaman skrg.. gimana bisa survive di dunia nyata kl pada ngadu2 kaya anak cengeng manja gini…,Bukannya biasa aja ini ya dr jaman gua smp juga ada beginian biasa aja deh lemah amat anak jaman skrg gimana bisa survive di dunia nyata kl pada ngadu kaya anak cengeng manja gini,bukannya biasa aja ini ya dr jaman gua smp juga ada beginian biasa aja deh lemah amat anak jaman skrg gimana bisa survive di dunia nyata kl pada ngadu kaya anak cengeng manja gini,"['bukannya', 'biasa', 'aja', 'ini', 'ya', 'dr', 'jaman', 'gua', 'smp', 'juga', 'ada', 'beginian', 'biasa', 'aja', 'deh', 'lemah', 'amat', 'anak', 'jaman', 'skrg', 'gimana', 'bisa', 'survive', 'di', 'dunia', 'nyata', 'kl', 'pada', 'ngadu', 'kaya', 'anak', 'cengeng', 'manja', 'gini']","['bukannya', 'biasa', 'aja', 'ini', 'ya', 'dari', 'jaman', 'aku', 'smp', 'juga', 'ada', 'beginian', 'biasa', 'aja', 'deh', 'lemah', 'amat', 'anak', 'jaman', 'sekarang', 'gimana', 'bisa', 'survive', 'di', 'dunia', 'nyata', 'kalo', 'pada', 'ngadu', 'kaya', 'anak', 'cengeng', 'manja', 'gini']","['aja', 'ya', 'jaman', 'smp', 'aja', 'deh', 'lemah', 'anak', 'jaman', 'gimana', 'survive', 'dunia', 'nyata', 'kalo', 'ngadu', 'kaya', 'anak', 'cengeng', 'manja', 'gini']","['aja', 'ya', 'jaman', 'smp', 'aja', 'deh', 'lemah', 'anak', 'jaman', 'gimana', 'survive', 'dunia', 'nyata', 'kalo', 'ngadu', 'kaya', 'anak', 'cengeng', 'manja', 'gin']",aja ya jaman smp aja deh lemah anak jaman gimana survive dunia nyata kalo ngadu kaya anak cengeng manja gin
Gua kira gengnya F4....sama jalan ceritanya,Gua kira gengnya sama jalan ceritanya,gua kira gengnya sama jalan ceritanya,"['gua', 'kira', 'gengnya', 'sama', 'jalan', 'ceritanya']","['aku', 'kira', 'gengnya', 'sama', 'jalan', 'ceritanya']","['gengnya', 'jalan', 'ceritanya']","['geng', 'jalan', 'cerita']",geng jalan cerita
Ini Sekolah bertaraf Inter sj msh ada Bullying gimana dgn sekolah yg bukan Kelas/ taraf Inter ?? Dunia Pendidikan kita Darurat Secara Moril,Ini Sekolah bertaraf Inter sj msh ada Bullying gimana dgn sekolah yg bukan Kelas taraf Inter Dunia Pendidikan kita Darurat Secara Moril,ini sekolah bertaraf inter sj msh ada bullying gimana dgn sekolah yg bukan kelas taraf inter dunia pendidikan kita darurat secara moril,"['ini', 'sekolah', 'bertaraf', 'inter', 'sj', 'msh', 'ada', 'bullying', 'gimana', 'dgn', 'sekolah', 'yg', 'bukan', 'kelas', 'taraf', 'inter', 'dunia', 'pendidikan', 'kita', 'darurat', 'secara', 'moril']","['ini', 'sekolah', 'bertaraf', 'inter', 'saja', 'masih', 'ada', 'bullying', 'gimana', 'dengan', 'sekolah', 'yang', 'bukan', 'kelas', 'taraf', 'inter', 'dunia', 'pendidikan', 'kita', 'darurat', 'secara', 'moril']","['sekolah', 'bertaraf', 'inter', 'bullying', 'gimana', 'sekolah', 'kelas', 'taraf', 'inter', 'dunia', 'pendidikan', 'darurat', 'moril']","['sekolah', 'taraf', 'inter', 'bullying', 'gimana', 'sekolah', 'kelas', 'taraf', 'inter', 'dunia', 'didik', 'darurat', 'moril']",sekolah taraf inter bullying gimana sekolah kelas taraf inter dunia didik darurat moril
"Brani beta pung anak kamorang biking bagitu,beta bala sampe kamomg pung mama papa minta ampong dr Tuhan 😡👹😡",Brani beta pung anak kamorang biking bagitu beta bala sampe kamomg pung mama papa minta ampong dr Tuhan,brani beta pung anak kamorang biking bagitu beta bala sampe kamomg pung mama papa minta ampong dr tuhan,"['brani', 'beta', 'pung', 'anak', 'kamorang', 'biking', 'bagitu', 'beta', 'bala', 'sampe', 'kamomg', 'pung', 'mama', 'papa', 'minta', 'ampong', 'dr', 'tuhan']","['brani', 'beta', 'pung', 'anak', 'kamorang', 'biking', 'bagitu', 'beta', 'bala', 'sampe', 'kamomg', 'pung', 'mama', 'papa', 'minta', 'ampong', 'dari', 'tuhan']","['brani', 'beta', 'pung', 'anak', 'kamorang', 'biking', 'bagitu', 'beta', 'bala', 'sampe', 'kamomg', 'pung', 'mama', 'papa', 'ampong', 'tuhan']","['brani', 'beta', 'pung', 'anak', 'kamorang', 'biking', 'bagitu', 'beta', 'bala', 'sampe', 'kamomg', 'pung', 'mama', 'papa', 'ampong', 'tuhan']",brani beta pung anak kamorang biking bagitu beta bala sampe kamomg pung mama papa ampong tuhan
Ayo rame2 tag nama artis si VR....,Ayo rame tag nama artis si VR,ayo rame tag nama artis si vr,"['ayo', 'rame', 'tag', 'nama', 'artis', 'si', 'vr']","['ayo', 'rame', 'tag', 'nama', 'artis', 'si', 'vr']","['ayo', 'rame', 'tag', 'nama', 'artis', 'si', 'vr']","['ayo', 'rame', 'tag', 'nama', 'artis', 'si', 'vr']",ayo rame tag nama artis si vr
bubarin aja sekolah nya,bubarin aja sekolah nya,bubarin aja sekolah nya,"['bubarin', 'aja', 'sekolah', 'nya']","['bubarin', 'aja', 'sekolah', 'nya']","['bubarin', 'aja', 'sekolah', 'nya']","['bubarin', 'aja', 'sekolah', 'nya']",bubarin aja sekolah nya
Kasian anak yg dimasukin ke skolah ini sama orang tuanya. 9th ga ada perubahan,Kasian anak yg dimasukin ke skolah ini sama orang tuanya th ga ada perubahan,kasian anak yg dimasukin ke skolah ini sama orang tuanya th ga ada perubahan,"['kasian', 'anak', 'yg', 'dimasukin', 'ke', 'skolah', 'ini', 'sama', 'orang', 'tuanya', 'th', 'ga', 'ada', 'perubahan']","['kasian', 'anak', 'yang', 'dimasukin', 'ke', 'skolah', 'ini', 'sama', 'orang', 'tuanya', 'th', 'enggak', 'ada', 'perubahan']","['kasian', 'anak', 'dimasukin', 'skolah', 'orang', 'tuanya', 'th', 'perubahan']","['kasi', 'anak', 'dimasukin', 'skolah', 'orang', 'tua', 'th', 'ubah']",kasi anak dimasukin skolah orang tua th ubah
