Komentar,cleaning,Case_Folding,Tokennisasi,Normalisasi,Stopwords,Steaming,text_clean
Sdh 9 thn? Koq bangga ya ... n apa tindakan sklh pd geng ini? Klo tau kan hrsnya d bubarkan n akan d kenakan sanksi klo msh ada yg bergabung d geng itu. Trs CCTV sklh sekelas BINUS masa ga ada? Bs kecolongan gtu ... ini d lakukan d lingkungan sekolah jd tgjawab sekolah pastinya. Pelaku ga mikir ya bgmn klo terjadi pd adiknya? Mau ga jd korban berikutnya. Akhlak n hati nuraninya dimana ya ...,Sdh thn Koq bangga ya apa tindakan sklh pd geng ini Klo tau kan hrsnya bubarkan akan kenakan sanksi klo msh ada yg bergabung geng itu Trs CCTV sklh sekelas BINUS masa ga ada Bs kecolongan gtu ini lakukan lingkungan sekolah jd tgjawab sekolah pastinya Pelaku ga mikir ya bgmn klo terjadi pd adiknya Mau ga jd korban berikutnya Akhlak hati nuraninya dimana ya,sdh thn koq bangga ya apa tindakan sklh pd geng ini klo tau kan hrsnya bubarkan akan kenakan sanksi klo msh ada yg bergabung geng itu trs cctv sklh sekelas binus masa ga ada bs kecolongan gtu ini lakukan lingkungan sekolah jd tgjawab sekolah pastinya pelaku ga mikir ya bgmn klo terjadi pd adiknya mau ga jd korban berikutnya akhlak hati nuraninya dimana ya,"['sdh', 'thn', 'koq', 'bangga', 'ya', 'apa', 'tindakan', 'sklh', 'pd', 'geng', 'ini', 'klo', 'tau', 'kan', 'hrsnya', 'bubarkan', 'akan', 'kenakan', 'sanksi', 'klo', 'msh', 'ada', 'yg', 'bergabung', 'geng', 'itu', 'trs', 'cctv', 'sklh', 'sekelas', 'binus', 'masa', 'ga', 'ada', 'bs', 'kecolongan', 'gtu', 'ini', 'lakukan', 'lingkungan', 'sekolah', 'jd', 'tgjawab', 'sekolah', 'pastinya', 'pelaku', 'ga', 'mikir', 'ya', 'bgmn', 'klo', 'terjadi', 'pd', 'adiknya', 'mau', 'ga', 'jd', 'korban', 'berikutnya', 'akhlak', 'hati', 'nuraninya', 'dimana', 'ya']","['sudah', 'thn', 'koq', 'bangga', 'ya', 'apa', 'tindakan', 'sklh', 'percaya diri', 'geng', 'ini', 'kalau', 'tau', 'kan', 'hrsnya', 'bubarkan', 'akan', 'kenakan', 'sanksi', 'kalau', 'masih', 'ada', 'yang', 'bergabung', 'geng', 'itu', 'terus', 'cctv', 'sklh', 'sekelas', 'binus', 'masa', 'enggak', 'ada', 'bisa', 'kecolongan', 'gitu', 'ini', 'lakukan', 'lingkungan', 'sekolah', 'jadi', 'tgjawab', 'sekolah', 'pastinya', 'pelaku', 'enggak', 'mikir', 'ya', 'bgmn', 'kalau', 'terjadi', 'percaya diri', 'adiknya', 'mau', 'enggak', 'jadi', 'korban', 'berikutnya', 'akhlak', 'hati', 'nuraninya', 'dimana', 'ya']","['thn', 'koq', 'bangga', 'ya', 'tindakan', 'sklh', 'percaya diri', 'geng', 'tau', 'hrsnya', 'bubarkan', 'kenakan', 'sanksi', 'bergabung', 'geng', 'cctv', 'sklh', 'sekelas', 'binus', 'kecolongan', 'gitu', 'lakukan', 'lingkungan', 'sekolah', 'tgjawab', 'sekolah', 'pastinya', 'pelaku', 'mikir', 'ya', 'bgmn', 'percaya diri', 'adiknya', 'korban', 'akhlak', 'hati', 'nuraninya', 'dimana', 'ya']","['thn', 'koq', 'bangga', 'ya', 'tindak', 'sklh', 'percaya diri', 'geng', 'tau', 'hrsnya', 'bubar', 'kena', 'sanksi', 'gabung', 'geng', 'cctv', 'sklh', 'kelas', 'bus', 'colong', 'gitu', 'laku', 'lingkung', 'sekolah', 'tgjawab', 'sekolah', 'pasti', 'laku', 'mikir', 'ya', 'bgmn', 'percaya diri', 'adik', 'korban', 'akhlak', 'hati', 'nurani', 'mana', 'ya']",thn koq bangga ya tindak sklh percaya diri geng tau hrsnya bubar kena sanksi gabung geng cctv sklh kelas bus colong gitu laku lingkung sekolah tgjawab sekolah pasti laku mikir ya bgmn percaya diri adik korban akhlak hati nurani mana ya
"Plajaran penting buat ayah bunda, di zaman skrg, anak² ini jgn cm di ksh makan, di ksh skolah, hp, uang jajan doang, tp pendekatan kalian, beri contoh yg baik ikutkan ke kajian jgn jg srg di perlakukan scr toxic di rumah, bangunlah rumah tangga anda dgn iman & taqwa, niscaya Allah akan mnjaga anak² & perilakunya, nasihat ini jg buat sy pribadi & untuk smw ayah bunda di indonesia😢",Plajaran penting buat ayah bunda di zaman skrg anak ini jgn cm di ksh makan di ksh skolah hp uang jajan doang tp pendekatan kalian beri contoh yg baik ikutkan ke kajian jgn jg srg di perlakukan scr toxic di rumah bangunlah rumah tangga anda dgn iman taqwa niscaya Allah akan mnjaga anak perilakunya nasihat ini jg buat sy pribadi untuk smw ayah bunda di indonesia,plajaran penting buat ayah bunda di zaman skrg anak ini jgn cm di ksh makan di ksh skolah hp uang jajan doang tp pendekatan kalian beri contoh yg baik ikutkan ke kajian jgn jg srg di perlakukan scr toxic di rumah bangunlah rumah tangga anda dgn iman taqwa niscaya allah akan mnjaga anak perilakunya nasihat ini jg buat sy pribadi untuk smw ayah bunda di indonesia,"['plajaran', 'penting', 'buat', 'ayah', 'bunda', 'di', 'zaman', 'skrg', 'anak', 'ini', 'jgn', 'cm', 'di', 'ksh', 'makan', 'di', 'ksh', 'skolah', 'hp', 'uang', 'jajan', 'doang', 'tp', 'pendekatan', 'kalian', 'beri', 'contoh', 'yg', 'baik', 'ikutkan', 'ke', 'kajian', 'jgn', 'jg', 'srg', 'di', 'perlakukan', 'scr', 'toxic', 'di', 'rumah', 'bangunlah', 'rumah', 'tangga', 'anda', 'dgn', 'iman', 'taqwa', 'niscaya', 'allah', 'akan', 'mnjaga', 'anak', 'perilakunya', 'nasihat', 'ini', 'jg', 'buat', 'sy', 'pribadi', 'untuk', 'smw', 'ayah', 'bunda', 'di', 'indonesia']","['plajaran', 'penting', 'buat', 'ayah', 'bunda', 'di', 'zaman', 'sekarang', 'anak', 'ini', 'jangan', 'cuma', 'di', 'ksh', 'makan', 'di', 'ksh', 'skolah', 'hp', 'uang', 'jajan', 'doang', 'tapi', 'pendekatan', 'kalian', 'beri', 'contoh', 'yang', 'baik', 'ikutkan', 'ke', 'kajian', 'jangan', 'juga', 'srg', 'di', 'perlakukan', 'scr', 'toxic', 'di', 'rumah', 'bangunlah', 'rumah', 'tangga', 'anda', 'dengan', 'iman', 'taqwa', 'niscaya', 'allah', 'akan', 'mnjaga', 'anak', 'perilakunya', 'nasihat', 'ini', 'juga', 'buat', 'sy', 'pribadi', 'untuk', 'smw', 'ayah', 'bunda', 'di', 'indonesia']","['plajaran', 'ayah', 'bunda', 'zaman', 'anak', 'ksh', 'makan', 'ksh', 'skolah', 'hp', 'uang', 'jajan', 'doang', 'pendekatan', 'contoh', 'ikutkan', 'kajian', 'srg', 'perlakukan', 'scr', 'toxic', 'rumah', 'bangunlah', 'rumah', 'tangga', 'iman', 'taqwa', 'niscaya', 'allah', 'mnjaga', 'anak', 'perilakunya', 'nasihat', 'sy', 'pribadi', 'smw', 'ayah', 'bunda', 'indonesia']","['plajaran', 'ayah', 'bunda', 'zaman', 'anak', 'ksh', 'makan', 'ksh', 'skolah', 'hp', 'uang', 'jajan', 'doang', 'dekat', 'contoh', 'ikut', 'kaji', 'srg', 'laku', 'scr', 'toxic', 'rumah', 'bangun', 'rumah', 'tangga', 'iman', 'taqwa', 'niscaya', 'allah', 'mnjaga', 'anak', 'perilaku', 'nasihat', 'sy', 'pribadi', 'smw', 'ayah', 'bunda', 'indonesia']",plajaran ayah bunda zaman anak ksh makan ksh skolah hp uang jajan doang dekat contoh ikut kaji srg laku scr toxic rumah bangun rumah tangga iman taqwa niscaya allah mnjaga anak perilaku nasihat sy pribadi smw ayah bunda indonesia
Walaupun di bawah umur tapi kelakuannya membahayakan . Harusnya tetap di hukum setimpal dgn perbuatannya . Karena banyak anak yang katanya di bawah umur tapi kelakuannya ngawur,Walaupun di bawah umur tapi kelakuannya membahayakan Harusnya tetap di hukum setimpal dgn perbuatannya Karena banyak anak yang katanya di bawah umur tapi kelakuannya ngawur,walaupun di bawah umur tapi kelakuannya membahayakan harusnya tetap di hukum setimpal dgn perbuatannya karena banyak anak yang katanya di bawah umur tapi kelakuannya ngawur,"['walaupun', 'di', 'bawah', 'umur', 'tapi', 'kelakuannya', 'membahayakan', 'harusnya', 'tetap', 'di', 'hukum', 'setimpal', 'dgn', 'perbuatannya', 'karena', 'banyak', 'anak', 'yang', 'katanya', 'di', 'bawah', 'umur', 'tapi', 'kelakuannya', 'ngawur']","['walaupun', 'di', 'bawah', 'umur', 'tapi', 'kelakuannya', 'membahayakan', 'harusnya', 'tetap', 'di', 'hukum', 'setimpal', 'dengan', 'perbuatannya', 'karena', 'banyak', 'anak', 'yang', 'katanya', 'di', 'bawah', 'umur', 'tapi', 'kelakuannya', 'ngawur']","['umur', 'kelakuannya', 'membahayakan', 'hukum', 'setimpal', 'perbuatannya', 'anak', 'umur', 'kelakuannya', 'ngawur']","['umur', 'laku', 'bahaya', 'hukum', 'timpal', 'buat', 'anak', 'umur', 'laku', 'ngawur']",umur laku bahaya hukum timpal buat anak umur laku ngawur
Preman sekolah 😂,Preman sekolah,preman sekolah,"['preman', 'sekolah']","['preman', 'sekolah']","['preman', 'sekolah']","['preman', 'sekolah']",preman sekolah
Genk GT pernah tawuran gak? Siape tau ente2 orang pernah ketemu genk GT 😂 @dzcelo @mwildannur145,Genk GT pernah tawuran gak Siape tau ente orang pernah ketemu genk GT,genk gt pernah tawuran gak siape tau ente orang pernah ketemu genk gt,"['genk', 'gt', 'pernah', 'tawuran', 'gak', 'siape', 'tau', 'ente', 'orang', 'pernah', 'ketemu', 'genk', 'gt']","['genk', 'gitu', 'pernah', 'tawuran', 'enggak', 'siape', 'tau', 'ente', 'orang', 'pernah', 'ketemu', 'genk', 'gitu']","['genk', 'gitu', 'tawuran', 'siape', 'tau', 'ente', 'orang', 'ketemu', 'genk', 'gitu']","['genk', 'gitu', 'tawur', 'siape', 'tau', 'ente', 'orang', 'ketemu', 'genk', 'gitu']",genk gitu tawur siape tau ente orang ketemu genk gitu
"Gegara nih bocah nama bapaknya udah jelas jadi sorotan dan jelek, kedua sekolahannya jadi jelek juga gegara nih anak anak modelan gini, misalkan DO juga citra sekolahnya udah buruk dimata masyarakat.",Gegara nih bocah nama bapaknya udah jelas jadi sorotan dan jelek kedua sekolahannya jadi jelek juga gegara nih anak anak modelan gini misalkan DO juga citra sekolahnya udah buruk dimata masyarakat,gegara nih bocah nama bapaknya udah jelas jadi sorotan dan jelek kedua sekolahannya jadi jelek juga gegara nih anak anak modelan gini misalkan do juga citra sekolahnya udah buruk dimata masyarakat,"['gegara', 'nih', 'bocah', 'nama', 'bapaknya', 'udah', 'jelas', 'jadi', 'sorotan', 'dan', 'jelek', 'kedua', 'sekolahannya', 'jadi', 'jelek', 'juga', 'gegara', 'nih', 'anak', 'anak', 'modelan', 'gini', 'misalkan', 'do', 'juga', 'citra', 'sekolahnya', 'udah', 'buruk', 'dimata', 'masyarakat']","['gegara', 'ini', 'bocah', 'nama', 'bapaknya', 'udah', 'jelas', 'jadi', 'sorotan', 'dan', 'jelek', 'kedua', 'sekolahannya', 'jadi', 'jelek', 'juga', 'gegara', 'ini', 'anak', 'anak', 'modelan', 'gini', 'misalkan', 'do', 'juga', 'citra', 'sekolahnya', 'udah', 'buruk', 'dimata', 'masyarakat']","['gegara', 'bocah', 'nama', 'bapaknya', 'udah', 'sorotan', 'jelek', 'sekolahannya', 'jelek', 'gegara', 'anak', 'anak', 'modelan', 'gini', 'do', 'citra', 'sekolahnya', 'udah', 'buruk', 'dimata', 'masyarakat']","['gegara', 'bocah', 'nama', 'bapak', 'udah', 'sorot', 'jelek', 'sekolah', 'jelek', 'gegara', 'anak', 'anak', 'model', 'gin', 'do', 'citra', 'sekolah', 'udah', 'buruk', 'mata', 'masyarakat']",gegara bocah nama bapak udah sorot jelek sekolah jelek gegara anak anak model gin do citra sekolah udah buruk mata masyarakat
Sekolahan keren kok siswa nya kaya gini. Gak ada moral 🤬,Sekolahan keren kok siswa nya kaya gini Gak ada moral,sekolahan keren kok siswa nya kaya gini gak ada moral,"['sekolahan', 'keren', 'kok', 'siswa', 'nya', 'kaya', 'gini', 'gak', 'ada', 'moral']","['sekolahan', 'keren', 'kok', 'siswa', 'nya', 'kaya', 'gini', 'enggak', 'ada', 'moral']","['sekolahan', 'keren', 'siswa', 'nya', 'kaya', 'gini', 'moral']","['sekolah', 'keren', 'siswa', 'nya', 'kaya', 'gin', 'moral']",sekolah keren siswa nya kaya gin moral
Udah 9 tahun? Sekolahnya nggak dikasih sanksi?,Udah tahun Sekolahnya nggak dikasih sanksi,udah tahun sekolahnya nggak dikasih sanksi,"['udah', 'tahun', 'sekolahnya', 'nggak', 'dikasih', 'sanksi']","['udah', 'tahun', 'sekolahnya', 'nggak', 'dikasih', 'sanksi']","['udah', 'sekolahnya', 'nggak', 'dikasih', 'sanksi']","['udah', 'sekolah', 'nggak', 'kasih', 'sanksi']",udah sekolah nggak kasih sanksi
"semoga anak"" kita dijauhkan dari kejahatan seperti ini 😔",semoga anak kita dijauhkan dari kejahatan seperti ini,semoga anak kita dijauhkan dari kejahatan seperti ini,"['semoga', 'anak', 'kita', 'dijauhkan', 'dari', 'kejahatan', 'seperti', 'ini']","['semoga', 'anak', 'kita', 'dijauhkan', 'dari', 'kejahatan', 'seperti', 'ini']","['semoga', 'anak', 'dijauhkan', 'kejahatan']","['moga', 'anak', 'jauh', 'jahat']",moga anak jauh jahat
Pidanakan aja para pelaku bullying apapun pembelaan mereka. Salah ya salah,Pidanakan aja para pelaku bullying apapun pembelaan mereka Salah ya salah,pidanakan aja para pelaku bullying apapun pembelaan mereka salah ya salah,"['pidanakan', 'aja', 'para', 'pelaku', 'bullying', 'apapun', 'pembelaan', 'mereka', 'salah', 'ya', 'salah']","['pidanakan', 'aja', 'para', 'pelaku', 'bullying', 'apapun', 'pembelaan', 'mereka', 'salah', 'ya', 'salah']","['pidanakan', 'aja', 'pelaku', 'bullying', 'apapun', 'pembelaan', 'salah', 'ya', 'salah']","['pidana', 'aja', 'laku', 'bullying', 'apa', 'bela', 'salah', 'ya', 'salah']",pidana aja laku bullying apa bela salah ya salah
