Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Bullying dan Penganiayaan. Jangan memperhalus tindakan penganiayaan dengan bullying please..,Bullying dan Penganiayaan Jangan memperhalus tindakan penganiayaan dengan bullying please,bullying dan penganiayaan jangan memperhalus tindakan penganiayaan dengan bullying please,"['bullying', 'dan', 'penganiayaan', 'jangan', 'memperhalus', 'tindakan', 'penganiayaan', 'dengan', 'bullying', 'please']","['bullying', 'dan', 'penganiayaan', 'jangan', 'memperhalus', 'tindakan', 'penganiayaan', 'dengan', 'bullying', 'please']","['bullying', 'penganiayaan', 'memperhalus', 'tindakan', 'penganiayaan', 'bullying', 'please']","['bullying', 'aniaya', 'halus', 'tindak', 'aniaya', 'bullying', 'please']",bullying aniaya halus tindak aniaya bullying please
"Kumparan kok segininya, itu ktnya 9 org pelaku kenapa ga berani angkat yg selain anak Vincent R...malah Pasang foto si Vincent lagi. Ayo kumparan..pelaku yg lain tlg diangkat jg sama si bapak nya ya, kyk ni VR....baru adill",Kumparan kok segininya itu ktnya org pelaku kenapa ga berani angkat yg selain anak Vincent malah Pasang foto si Vincent lagi Ayo kumparan pelaku yg lain tlg diangkat jg sama si bapak nya ya kyk ni VR baru adill,kumparan kok segininya itu ktnya org pelaku kenapa ga berani angkat yg selain anak vincent malah pasang foto si vincent lagi ayo kumparan pelaku yg lain tlg diangkat jg sama si bapak nya ya kyk ni vr baru adill,"['kumparan', 'kok', 'segininya', 'itu', 'ktnya', 'org', 'pelaku', 'kenapa', 'ga', 'berani', 'angkat', 'yg', 'selain', 'anak', 'vincent', 'malah', 'pasang', 'foto', 'si', 'vincent', 'lagi', 'ayo', 'kumparan', 'pelaku', 'yg', 'lain', 'tlg', 'diangkat', 'jg', 'sama', 'si', 'bapak', 'nya', 'ya', 'kyk', 'ni', 'vr', 'baru', 'adill']","['kumparan', 'kok', 'segininya', 'itu', 'ktnya', 'orang', 'pelaku', 'kenapa', 'enggak', 'berani', 'angkat', 'yang', 'selain', 'anak', 'vincent', 'malah', 'pasang', 'foto', 'si', 'vincent', 'lagi', 'ayo', 'kumparan', 'pelaku', 'yang', 'lain', 'tlg', 'diangkat', 'juga', 'sama', 'si', 'bapak', 'nya', 'ya', 'kayak', 'ni', 'vr', 'baru', 'adill']","['kumparan', 'segininya', 'ktnya', 'orang', 'pelaku', 'berani', 'angkat', 'anak', 'vincent', 'pasang', 'foto', 'si', 'vincent', 'ayo', 'kumparan', 'pelaku', 'tlg', 'diangkat', 'si', 'nya', 'ya', 'kayak', 'ni', 'vr', 'adill']","['kumpar', 'gin', 'ktnya', 'orang', 'laku', 'berani', 'angkat', 'anak', 'vincent', 'pasang', 'foto', 'si', 'vincent', 'ayo', 'kumpar', 'laku', 'tlg', 'angkat', 'si', 'nya', 'ya', 'kayak', 'ni', 'vr', 'adill']",kumpar gin ktnya orang laku berani angkat anak vincent pasang foto si vincent ayo kumpar laku tlg angkat si nya ya kayak ni vr adill
Stay strong pak pincen🖤,Stay strong pak pincen,stay strong pak pincen,"['stay', 'strong', 'pak', 'pincen']","['stay', 'strong', 'pak', 'pincen']","['stay', 'strong', 'pincen']","['stay', 'strong', 'pincen']",stay strong pincen
Di sorot cuma anak nya vincent karna artis...media biar rame dan bisa makan! Kasian ya liat media skrg 😂,Di sorot cuma anak nya vincent karna artis media biar rame dan bisa makan Kasian ya liat media skrg,di sorot cuma anak nya vincent karna artis media biar rame dan bisa makan kasian ya liat media skrg,"['di', 'sorot', 'cuma', 'anak', 'nya', 'vincent', 'karna', 'artis', 'media', 'biar', 'rame', 'dan', 'bisa', 'makan', 'kasian', 'ya', 'liat', 'media', 'skrg']","['di', 'sorot', 'cuma', 'anak', 'nya', 'vincent', 'karna', 'artis', 'media', 'biar', 'rame', 'dan', 'bisa', 'makan', 'kasian', 'ya', 'liat', 'media', 'skrg']","['sorot', 'anak', 'nya', 'vincent', 'karna', 'artis', 'media', 'biar', 'rame', 'makan', 'kasian', 'ya', 'liat', 'media', 'skrg']","['sorot', 'anak', 'nya', 'vincent', 'karna', 'artis', 'media', 'biar', 'rame', 'makan', 'kasi', 'ya', 'liat', 'media', 'skrg']",sorot anak nya vincent karna artis media biar rame makan kasi ya liat media skrg
"Tersangka nya banyak, tapi yg di goreng vincent. Orang tua yg lain kemana?",Tersangka nya banyak tapi yg di goreng vincent Orang tua yg lain kemana,tersangka nya banyak tapi yg di goreng vincent orang tua yg lain kemana,"['tersangka', 'nya', 'banyak', 'tapi', 'yg', 'di', 'goreng', 'vincent', 'orang', 'tua', 'yg', 'lain', 'kemana']","['tersangka', 'nya', 'banyak', 'tapi', 'yang', 'di', 'goreng', 'vincent', 'orang', 'tua', 'yang', 'lain', 'kemana']","['tersangka', 'nya', 'goreng', 'vincent', 'orang', 'tua', 'kemana']","['sangka', 'nya', 'goreng', 'vincent', 'orang', 'tua', 'mana']",sangka nya goreng vincent orang tua mana
Yang diangkat anaknya vincent mulu. Yang lain emang ga punya bapak juga?,Yang diangkat anaknya vincent mulu Yang lain emang ga punya bapak juga,yang diangkat anaknya vincent mulu yang lain emang ga punya bapak juga,"['yang', 'diangkat', 'anaknya', 'vincent', 'mulu', 'yang', 'lain', 'emang', 'ga', 'punya', 'bapak', 'juga']","['yang', 'diangkat', 'anaknya', 'vincent', 'mulu', 'yang', 'lain', 'emang', 'enggak', 'punya', 'bapak', 'juga']","['diangkat', 'anaknya', 'vincent', 'mulu', 'emang']","['angkat', 'anak', 'vincent', 'mulu', 'emang']",angkat anak vincent mulu emang
Jangan yg di goreng cuman anak artis lah ADMN,Jangan yg di goreng cuman anak artis lah ADMN,jangan yg di goreng cuman anak artis lah admn,"['jangan', 'yg', 'di', 'goreng', 'cuman', 'anak', 'artis', 'lah', 'admn']","['jangan', 'yang', 'di', 'goreng', 'cuman', 'anak', 'artis', 'lah', 'admn']","['goreng', 'cuman', 'anak', 'artis', 'admn']","['goreng', 'cuman', 'anak', 'artis', 'admn']",goreng cuman anak artis admn
Kalau aku jadi Vincent  gue jeblosiin ke penjara  anakku biar kapok.,Kalau aku jadi Vincent gue jeblosiin ke penjara anakku biar kapok,kalau aku jadi vincent gue jeblosiin ke penjara anakku biar kapok,"['kalau', 'aku', 'jadi', 'vincent', 'gue', 'jeblosiin', 'ke', 'penjara', 'anakku', 'biar', 'kapok']","['kalau', 'aku', 'jadi', 'vincent', 'aku', 'jeblosiin', 'ke', 'penjara', 'anakku', 'biar', 'kapok']","['vincent', 'jeblosiin', 'penjara', 'anakku', 'biar', 'kapok']","['vincent', 'jeblosiin', 'penjara', 'anak', 'biar', 'kapok']",vincent jeblosiin penjara anak biar kapok
Lumayaaan.. Duit,Lumayaan Duit,lumayaan duit,"['lumayaan', 'duit']","['lumayaan', 'duit']","['lumayaan', 'duit']","['lumayaan', 'duit']",lumayaan duit
"Hidup lagi capek-capeknya eh malah di katain"" suami😣 btw disini ada yang tahu ngga sih,solusi biar pyd bagus☹️ Capek Di katain suami mulu malah minta cerai gara"" pyd kndur dan kecil😣",Hidup lagi capek capeknya eh malah di katain suami btw disini ada yang tahu ngga sih solusi biar pyd bagus Capek Di katain suami mulu malah minta cerai gara pyd kndur dan kecil,hidup lagi capek capeknya eh malah di katain suami btw disini ada yang tahu ngga sih solusi biar pyd bagus capek di katain suami mulu malah minta cerai gara pyd kndur dan kecil,"['hidup', 'lagi', 'capek', 'capeknya', 'eh', 'malah', 'di', 'katain', 'suami', 'btw', 'disini', 'ada', 'yang', 'tahu', 'ngga', 'sih', 'solusi', 'biar', 'pyd', 'bagus', 'capek', 'di', 'katain', 'suami', 'mulu', 'malah', 'minta', 'cerai', 'gara', 'pyd', 'kndur', 'dan', 'kecil']","['hidup', 'lagi', 'capek', 'capeknya', 'eh', 'malah', 'di', 'katain', 'suami', 'btw', 'disini', 'ada', 'yang', 'tahu', 'ngga', 'sih', 'solusi', 'biar', 'pyd', 'bagus', 'capek', 'di', 'katain', 'suami', 'mulu', 'malah', 'minta', 'cerai', 'gara', 'pyd', 'kndur', 'dan', 'kecil']","['hidup', 'capek', 'capeknya', 'eh', 'katain', 'suami', 'btw', 'ngga', 'sih', 'solusi', 'biar', 'pyd', 'bagus', 'capek', 'katain', 'suami', 'mulu', 'cerai', 'gara', 'pyd', 'kndur']","['hidup', 'capek', 'capek', 'eh', 'katain', 'suami', 'btw', 'ngga', 'sih', 'solusi', 'biar', 'pyd', 'bagus', 'capek', 'katain', 'suami', 'mulu', 'cerai', 'gara', 'pyd', 'kndur']",hidup capek capek eh katain suami btw ngga sih solusi biar pyd bagus capek katain suami mulu cerai gara pyd kndur
Kok vicent doang yg disorot.....yg lain mang BOKAP pelakunya miskiiiiin kah,Kok vicent doang yg disorot yg lain mang BOKAP pelakunya miskiin kah,kok vicent doang yg disorot yg lain mang bokap pelakunya miskiin kah,"['kok', 'vicent', 'doang', 'yg', 'disorot', 'yg', 'lain', 'mang', 'bokap', 'pelakunya', 'miskiin', 'kah']","['kok', 'vicent', 'doang', 'yang', 'disorot', 'yang', 'lain', 'mang', 'bokap', 'pelakunya', 'miskiin', 'kah']","['vicent', 'doang', 'disorot', 'mang', 'bokap', 'pelakunya', 'miskiin', 'kah']","['vicent', 'doang', 'sorot', 'mang', 'bokap', 'laku', 'miskiin', 'kah']",vicent doang sorot mang bokap laku miskiin kah
Anaknya vincent lg dag dig dug nih hahahahhahahhahaha,Anaknya vincent lg dag dig dug nih hahahahhahahhahaha,anaknya vincent lg dag dig dug nih hahahahhahahhahaha,"['anaknya', 'vincent', 'lg', 'dag', 'dig', 'dug', 'nih', 'hahahahhahahhahaha']","['anaknya', 'vincent', 'lagi', 'dag', 'dig', 'dug', 'ini', 'hahahahhahahhahaha']","['anaknya', 'vincent', 'dag', 'dig', 'dug', 'hahahahhahahhahaha']","['anak', 'vincent', 'dag', 'dig', 'dug', 'hahahahhahahhahaha']",anak vincent dag dig dug hahahahhahahhahaha
Nungguin komen yg bawa2 agama ni,Nungguin komen yg bawa agama ni,nungguin komen yg bawa agama ni,"['nungguin', 'komen', 'yg', 'bawa', 'agama', 'ni']","['nungguin', 'komen', 'yang', 'bawa', 'agama', 'ni']","['nungguin', 'komen', 'bawa', 'agama', 'ni']","['nungguin', 'komen', 'bawa', 'agama', 'ni']",nungguin komen bawa agama ni
