Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
Mudahan si Anis dan koleganya jadi oposisi yang baik.,Mudahan si Anis dan koleganya jadi oposisi yang baik,mudahan si anis dan koleganya jadi oposisi yang baik,"['mudahan', 'si', 'anis', 'dan', 'koleganya', 'jadi', 'oposisi', 'yang', 'baik']","['mudahan', 'si', 'anis', 'dan', 'koleganya', 'jadi', 'oposisi', 'yang', 'baik']","['mudahan', 'si', 'anis', 'koleganya', 'oposisi']","['mudah', 'si', 'anis', 'kolega', 'oposisi']",mudah si anis kolega oposisi
Emang beliau ada kekuatan politik nya,Emang beliau ada kekuatan politik nya,emang beliau ada kekuatan politik nya,"['emang', 'beliau', 'ada', 'kekuatan', 'politik', 'nya']","['emang', 'beliau', 'ada', 'kekuatan', 'politik', 'nya']","['emang', 'beliau', 'kekuatan', 'politik', 'nya']","['emang', 'beliau', 'kuat', 'politik', 'nya']",emang beliau kuat politik nya
dan kbarnya tim amin akan terus berkampanye sampai pilpres berikutnya.,dan kbarnya tim amin akan terus berkampanye sampai pilpres berikutnya,dan kbarnya tim amin akan terus berkampanye sampai pilpres berikutnya,"['dan', 'kbarnya', 'tim', 'amin', 'akan', 'terus', 'berkampanye', 'sampai', 'pilpres', 'berikutnya']","['dan', 'kbarnya', 'tim', 'amin', 'akan', 'terus', 'berkampanye', 'sampai', 'pilpres', 'berikutnya']","['kbarnya', 'tim', 'amin', 'berkampanye', 'pilpres']","['kbarnya', 'tim', 'amin', 'kampanye', 'pilpres']",kbarnya tim amin kampanye pilpres
"Lah anda siapa, anda itu ditugaskan..",Lah anda siapa anda itu ditugaskan,lah anda siapa anda itu ditugaskan,"['lah', 'anda', 'siapa', 'anda', 'itu', 'ditugaskan']","['lah', 'anda', 'siapa', 'anda', 'itu', 'ditugaskan']",['ditugaskan'],['tugas'],tugas
Siap2 jdi gembellllllll lo,Siap jdi gembell lo,siap jdi gembell lo,"['siap', 'jdi', 'gembell', 'lo']","['siap', 'jadi', 'gembell', 'kamu']",['gembell'],['gembell'],gembell
rispek❤️,rispek,rispek,['rispek'],['rispek'],['rispek'],['rispek'],rispek
Omon-omon.. Anies pusing gimana caranya bayar utang ke SP 🤣🤣🤣,Omon omon Anies pusing gimana caranya bayar utang ke SP,omon omon anies pusing gimana caranya bayar utang ke sp,"['omon', 'omon', 'anies', 'pusing', 'gimana', 'caranya', 'bayar', 'utang', 'ke', 'sp']","['omon', 'omon', 'anies', 'pusing', 'gimana', 'caranya', 'bayar', 'utang', 'ke', 'sp']","['omon', 'omon', 'anies', 'pusing', 'gimana', 'bayar', 'utang', 'sp']","['omon', 'omon', 'anies', 'pusing', 'gimana', 'bayar', 'utang', 'sp']",omon omon anies pusing gimana bayar utang sp
Tinggal nunggu KPK mulai gerak @aqshalvito @noven_hadir,Tinggal nunggu KPK mulai gerak hadir,tinggal nunggu kpk mulai gerak hadir,"['tinggal', 'nunggu', 'kpk', 'mulai', 'gerak', 'hadir']","['tinggal', 'nunggu', 'kpk', 'mulai', 'gerak', 'hadir']","['tinggal', 'nunggu', 'kpk', 'gerak', 'hadir']","['tinggal', 'nunggu', 'kpk', 'gerak', 'hadir']",tinggal nunggu kpk gerak hadir
Kita liat konsisten tdk dengan ucapan nya,Kita liat konsisten tdk dengan ucapan nya,kita liat konsisten tdk dengan ucapan nya,"['kita', 'liat', 'konsisten', 'tdk', 'dengan', 'ucapan', 'nya']","['kita', 'liat', 'konsisten', 'tidak', 'dengan', 'ucapan', 'nya']","['liat', 'konsisten', 'ucapan', 'nya']","['liat', 'konsisten', 'ucap', 'nya']",liat konsisten ucap nya
Janji teross,Janji teross,janji teross,"['janji', 'teross']","['janji', 'teross']","['janji', 'teross']","['janji', 'teross']",janji teross
"Anies serba salah.. kalo masuk kabinet dia pasti ditinggal sama pendukungnya yg skrg basisnya oposisi.. kalo nyalon gubernur DKI lagi beresiko karena saingannya mungkin Ridwan Kamil atau Ganjar, kalo kalah di pilgub udah gak ad harapan nyapres lagi.. satu2nya jalan diangkat jadi ketum partai oposisi maybe PKS atau NasDem, supaya namanya gak tenggelam sampai pemilu 2029..",Anies serba salah kalo masuk kabinet dia pasti ditinggal sama pendukungnya yg skrg basisnya oposisi kalo nyalon gubernur DKI lagi beresiko karena saingannya mungkin Ridwan Kamil atau Ganjar kalo kalah di pilgub udah gak ad harapan nyapres lagi satunya jalan diangkat jadi ketum partai oposisi maybe PKS atau NasDem supaya namanya gak tenggelam sampai pemilu,anies serba salah kalo masuk kabinet dia pasti ditinggal sama pendukungnya yg skrg basisnya oposisi kalo nyalon gubernur dki lagi beresiko karena saingannya mungkin ridwan kamil atau ganjar kalo kalah di pilgub udah gak ad harapan nyapres lagi satunya jalan diangkat jadi ketum partai oposisi maybe pks atau nasdem supaya namanya gak tenggelam sampai pemilu,"['anies', 'serba', 'salah', 'kalo', 'masuk', 'kabinet', 'dia', 'pasti', 'ditinggal', 'sama', 'pendukungnya', 'yg', 'skrg', 'basisnya', 'oposisi', 'kalo', 'nyalon', 'gubernur', 'dki', 'lagi', 'beresiko', 'karena', 'saingannya', 'mungkin', 'ridwan', 'kamil', 'atau', 'ganjar', 'kalo', 'kalah', 'di', 'pilgub', 'udah', 'gak', 'ad', 'harapan', 'nyapres', 'lagi', 'satunya', 'jalan', 'diangkat', 'jadi', 'ketum', 'partai', 'oposisi', 'maybe', 'pks', 'atau', 'nasdem', 'supaya', 'namanya', 'gak', 'tenggelam', 'sampai', 'pemilu']","['anies', 'serba', 'salah', 'kalau', 'masuk', 'kabinet', 'dia', 'pasti', 'ditinggal', 'sama', 'pendukungnya', 'yang', 'skrg', 'basisnya', 'oposisi', 'kalau', 'nyalon', 'gubernur', 'dki', 'lagi', 'beresiko', 'karena', 'saingannya', 'mungkin', 'ridwan', 'kamil', 'atau', 'ganjar', 'kalau', 'kalah', 'di', 'pilgub', 'udah', 'enggak', 'ad', 'harapan', 'nyapres', 'lagi', 'satunya', 'jalan', 'diangkat', 'jadi', 'ketum', 'partai', 'oposisi', 'maybe', 'pks', 'atau', 'nasdem', 'supaya', 'namanya', 'enggak', 'tenggelam', 'sampai', 'pemilu']","['anies', 'serba', 'salah', 'masuk', 'kabinet', 'ditinggal', 'pendukungnya', 'skrg', 'basisnya', 'oposisi', 'nyalon', 'gubernur', 'dki', 'beresiko', 'saingannya', 'ridwan', 'kamil', 'ganjar', 'kalah', 'pilgub', 'udah', 'ad', 'harapan', 'nyapres', 'satunya', 'jalan', 'diangkat', 'ketum', 'partai', 'oposisi', 'maybe', 'pks', 'nasdem', 'namanya', 'tenggelam', 'pemilu']","['anies', 'serba', 'salah', 'masuk', 'kabinet', 'tinggal', 'dukung', 'skrg', 'basis', 'oposisi', 'nyalon', 'gubernur', 'dki', 'resiko', 'saing', 'ridwan', 'kamil', 'ganjar', 'kalah', 'pilgub', 'udah', 'ad', 'harap', 'nyapres', 'satu', 'jalan', 'angkat', 'tum', 'partai', 'oposisi', 'maybe', 'pks', 'nasdem', 'nama', 'tenggelam', 'milu']",anies serba salah masuk kabinet tinggal dukung skrg basis oposisi nyalon gubernur dki resiko saing ridwan kamil ganjar kalah pilgub udah ad harap nyapres satu jalan angkat tum partai oposisi maybe pks nasdem nama tenggelam milu
Anis cuma ingin perubahan untuk tanggal jatuh tempo hutang nya yg ratusan em,Anis cuma ingin perubahan untuk tanggal jatuh tempo hutang nya yg ratusan em,anis cuma ingin perubahan untuk tanggal jatuh tempo hutang nya yg ratusan em,"['anis', 'cuma', 'ingin', 'perubahan', 'untuk', 'tanggal', 'jatuh', 'tempo', 'hutang', 'nya', 'yg', 'ratusan', 'em']","['anis', 'cuma', 'ingin', 'perubahan', 'untuk', 'tanggal', 'jatuh', 'tempo', 'hutang', 'nya', 'yang', 'ratusan', 'em']","['anis', 'perubahan', 'tanggal', 'jatuh', 'tempo', 'hutang', 'nya', 'ratusan', 'em']","['anis', 'ubah', 'tanggal', 'jatuh', 'tempo', 'hutang', 'nya', 'ratus', 'em']",anis ubah tanggal jatuh tempo hutang nya ratus em
"Nah kalo partai pendukungnya gimana? Apa dijamin oposisi, ada partai yg harus juga loh di situ",Nah kalo partai pendukungnya gimana Apa dijamin oposisi ada partai yg harus juga loh di situ,nah kalo partai pendukungnya gimana apa dijamin oposisi ada partai yg harus juga loh di situ,"['nah', 'kalo', 'partai', 'pendukungnya', 'gimana', 'apa', 'dijamin', 'oposisi', 'ada', 'partai', 'yg', 'harus', 'juga', 'loh', 'di', 'situ']","['nah', 'kalau', 'partai', 'pendukungnya', 'gimana', 'apa', 'dijamin', 'oposisi', 'ada', 'partai', 'yang', 'harus', 'juga', 'loh', 'di', 'situ']","['partai', 'pendukungnya', 'gimana', 'dijamin', 'oposisi', 'partai', 'loh', 'situ']","['partai', 'dukung', 'gimana', 'jamin', 'oposisi', 'partai', 'loh', 'situ']",partai dukung gimana jamin oposisi partai loh situ
Preeeetttt,Preett,preett,['preett'],['preett'],['preett'],['preett'],preett
Yeeeeeee abah anies pelukan sm ahok d oposisi 😂😂😂😂😂😂,Yee abah anies pelukan sm ahok oposisi,yee abah anies pelukan sm ahok oposisi,"['yee', 'abah', 'anies', 'pelukan', 'sm', 'ahok', 'oposisi']","['yee', 'abah', 'anies', 'pelukan', 'sama', 'ahok', 'oposisi']","['yee', 'abah', 'anies', 'pelukan', 'ahok', 'oposisi']","['yee', 'abah', 'anies', 'peluk', 'ahok', 'oposisi']",yee abah anies peluk ahok oposisi
kalo kalah yah kalah aja susah amat 😁,kalo kalah yah kalah aja susah amat,kalo kalah yah kalah aja susah amat,"['kalo', 'kalah', 'yah', 'kalah', 'aja', 'susah', 'amat']","['kalau', 'kalah', 'yah', 'kalah', 'aja', 'susah', 'amat']","['kalah', 'yah', 'kalah', 'aja', 'susah']","['kalah', 'yah', 'kalah', 'aja', 'susah']",kalah yah kalah aja susah
Omongan anis saya yakin 6 blan lagi bakalan lain. Udah banyak tu rekam jejek negatif nya,Omongan anis saya yakin blan lagi bakalan lain Udah banyak tu rekam jejek negatif nya,omongan anis saya yakin blan lagi bakalan lain udah banyak tu rekam jejek negatif nya,"['omongan', 'anis', 'saya', 'yakin', 'blan', 'lagi', 'bakalan', 'lain', 'udah', 'banyak', 'tu', 'rekam', 'jejek', 'negatif', 'nya']","['omongan', 'anis', 'saya', 'yakin', 'blan', 'lagi', 'bakalan', 'lain', 'udah', 'banyak', 'tu', 'rekam', 'jejek', 'negatif', 'nya']","['omongan', 'anis', 'blan', 'udah', 'tu', 'rekam', 'jejek', 'negatif', 'nya']","['omong', 'anis', 'blan', 'udah', 'tu', 'rekam', 'jejek', 'negatif', 'nya']",omong anis blan udah tu rekam jejek negatif nya
Keren bapak 😍,Keren bapak,keren bapak,"['keren', 'bapak']","['keren', 'bapak']",['keren'],['keren'],keren
Mantap pak Anies,Mantap pak Anies,mantap pak anies,"['mantap', 'pak', 'anies']","['mantap', 'pak', 'anies']","['mantap', 'anies']","['mantap', 'anies']",mantap anies
Trus bagaimana janji anda dengan pak Prabowo kayaknya sama deh dengan janji ke rakyat,Trus bagaimana janji anda dengan pak Prabowo kayaknya sama deh dengan janji ke rakyat,trus bagaimana janji anda dengan pak prabowo kayaknya sama deh dengan janji ke rakyat,"['trus', 'bagaimana', 'janji', 'anda', 'dengan', 'pak', 'prabowo', 'kayaknya', 'sama', 'deh', 'dengan', 'janji', 'ke', 'rakyat']","['terus', 'bagaimana', 'janji', 'anda', 'dengan', 'pak', 'prabowo', 'kayaknya', 'sama', 'deh', 'dengan', 'janji', 'ke', 'rakyat']","['janji', 'prabowo', 'kayaknya', 'deh', 'janji', 'rakyat']","['janji', 'prabowo', 'kayak', 'deh', 'janji', 'rakyat']",janji prabowo kayak deh janji rakyat
Ambisi yang menggebu-gebu,Ambisi yang menggebu gebu,ambisi yang menggebu gebu,"['ambisi', 'yang', 'menggebu', 'gebu']","['ambisi', 'yang', 'menggebu', 'gebu']","['ambisi', 'menggebu', 'gebu']","['ambisi', 'gebu', 'gebu']",ambisi gebu gebu
