Komentar,cleaning,cleansing,text_tokenize,tweet_normalized,text_stopword,text_stemming,text_clean
KETERLALUAN...SADIS😮😢,KETERLALUAN SADIS,keterlaluan sadis,"['keterlaluan', 'sadis']","['keterlaluan', 'sadis']",['sadis'],['sadis'],sadis
Sekolah mahal kelakuan kriminal,Sekolah mahal kelakuan kriminal,sekolah mahal kelakuan kriminal,"['sekolah', 'mahal', 'kelakuan', 'kriminal']","['sekolah', 'mahal', 'kelakuan', 'kriminal']","['sekolah', 'mahal', 'kelakuan', 'kriminal']","['sekolah', 'mahal', 'laku', 'kriminal']",sekolah mahal laku kriminal
Emang di apain ko bisa ada luka bakar😮,Emang di apain ko bisa ada luka bakar,emang di apain ko bisa ada luka bakar,"['emang', 'di', 'apain', 'ko', 'bisa', 'ada', 'luka', 'bakar']","['emang', 'di', 'apain', 'ko', 'bisa', 'ada', 'luka', 'bakar']","['emang', 'apain', 'ko', 'luka', 'bakar']","['emang', 'apain', 'ko', 'luka', 'bakar']",emang apain ko luka bakar
Anaknya vincen salah satu pembully nya bener ga si?,Anaknya vincen salah satu pembully nya bener ga si,anaknya vincen salah satu pembully nya bener ga si,"['anaknya', 'vincen', 'salah', 'satu', 'pembully', 'nya', 'bener', 'ga', 'si']","['anaknya', 'vincen', 'salah', 'satu', 'pembully', 'nya', 'bener', 'enggak', 'si']","['anaknya', 'vincen', 'salah', 'pembully', 'nya', 'bener', 'si']","['anak', 'vincen', 'salah', 'pembully', 'nya', 'bener', 'si']",anak vincen salah pembully nya bener si
Aduhh. Ngeri nya😢,Aduhh Ngeri nya,aduhh ngeri nya,"['aduhh', 'ngeri', 'nya']","['aduhh', 'ngeri', 'nya']","['aduhh', 'ngeri', 'nya']","['aduhh', 'ngeri', 'nya']",aduhh ngeri nya
Kenapa ya sekarang ini sekolah spt ini,Kenapa ya sekarang ini sekolah spt ini,kenapa ya sekarang ini sekolah spt ini,"['kenapa', 'ya', 'sekarang', 'ini', 'sekolah', 'spt', 'ini']","['kenapa', 'ya', 'sekarang', 'ini', 'sekolah', 'seperti', 'ini']","['ya', 'sekolah']","['ya', 'sekolah']",ya sekolah
Ini ada efek sama tontonan film jaman kini yg makin banyak kekerasan dan psyco juga. Semua multiefek😢,Ini ada efek sama tontonan film jaman kini yg makin banyak kekerasan dan psyco juga Semua multiefek,ini ada efek sama tontonan film jaman kini yg makin banyak kekerasan dan psyco juga semua multiefek,"['ini', 'ada', 'efek', 'sama', 'tontonan', 'film', 'jaman', 'kini', 'yg', 'makin', 'banyak', 'kekerasan', 'dan', 'psyco', 'juga', 'semua', 'multiefek']","['ini', 'ada', 'efek', 'sama', 'tontonan', 'film', 'jaman', 'kini', 'yang', 'makin', 'banyak', 'kekerasan', 'dan', 'psyco', 'juga', 'semua', 'multiefek']","['efek', 'tontonan', 'film', 'jaman', 'kekerasan', 'psyco', 'multiefek']","['efek', 'tonton', 'film', 'jaman', 'keras', 'psyco', 'multiefek']",efek tonton film jaman keras psyco multiefek
"Begini kl gk duajarin soal ahlak sm ortu apa lg kurang diajarkan agama , mrk pd gk takut sm perbuatan nya... Diberi kebebasan sm ortu dan selalu diksh uang lbh bnyak... Minta ini itu diturutin org kurang pengawasan, jd begitu kelakuannya",Begini kl gk duajarin soal ahlak sm ortu apa lg kurang diajarkan agama mrk pd gk takut sm perbuatan nya Diberi kebebasan sm ortu dan selalu diksh uang lbh bnyak Minta ini itu diturutin org kurang pengawasan jd begitu kelakuannya,begini kl gk duajarin soal ahlak sm ortu apa lg kurang diajarkan agama mrk pd gk takut sm perbuatan nya diberi kebebasan sm ortu dan selalu diksh uang lbh bnyak minta ini itu diturutin org kurang pengawasan jd begitu kelakuannya,"['begini', 'kl', 'gk', 'duajarin', 'soal', 'ahlak', 'sm', 'ortu', 'apa', 'lg', 'kurang', 'diajarkan', 'agama', 'mrk', 'pd', 'gk', 'takut', 'sm', 'perbuatan', 'nya', 'diberi', 'kebebasan', 'sm', 'ortu', 'dan', 'selalu', 'diksh', 'uang', 'lbh', 'bnyak', 'minta', 'ini', 'itu', 'diturutin', 'org', 'kurang', 'pengawasan', 'jd', 'begitu', 'kelakuannya']","['begini', 'kl', 'enggak', 'duajarin', 'soal', 'ahlak', 'sama', 'orang tua', 'apa', 'lagi', 'kurang', 'diajarkan', 'agama', 'mrk', 'percaya diri', 'enggak', 'takut', 'sama', 'perbuatan', 'nya', 'diberi', 'kebebasan', 'sama', 'orang tua', 'dan', 'selalu', 'diksh', 'uang', 'lebih', 'bnyak', 'minta', 'ini', 'itu', 'diturutin', 'orang', 'kurang', 'pengawasan', 'jadi', 'begitu', 'kelakuannya']","['kl', 'duajarin', 'ahlak', 'orang tua', 'diajarkan', 'agama', 'mrk', 'percaya diri', 'takut', 'perbuatan', 'nya', 'kebebasan', 'orang tua', 'diksh', 'uang', 'bnyak', 'diturutin', 'orang', 'pengawasan', 'kelakuannya']","['kl', 'duajarin', 'ahlak', 'orang tua', 'ajar', 'agama', 'mrk', 'percaya diri', 'takut', 'buat', 'nya', 'bebas', 'orang tua', 'diksh', 'uang', 'bnyak', 'diturutin', 'orang', 'awas', 'laku']",kl duajarin ahlak orang tua ajar agama mrk percaya diri takut buat nya bebas orang tua diksh uang bnyak diturutin orang awas laku
"Orang2 kenapa sih , kok ga pengen jadi pembela kebenaran,  banykin nonton superhero lah, malah pengen nya jadi penjahat",Orang kenapa sih kok ga pengen jadi pembela kebenaran banykin nonton superhero lah malah pengen nya jadi penjahat,orang kenapa sih kok ga pengen jadi pembela kebenaran banykin nonton superhero lah malah pengen nya jadi penjahat,"['orang', 'kenapa', 'sih', 'kok', 'ga', 'pengen', 'jadi', 'pembela', 'kebenaran', 'banykin', 'nonton', 'superhero', 'lah', 'malah', 'pengen', 'nya', 'jadi', 'penjahat']","['orang', 'kenapa', 'sih', 'kok', 'enggak', 'pengen', 'jadi', 'pembela', 'kebenaran', 'banykin', 'nonton', 'superhero', 'lah', 'malah', 'pengen', 'nya', 'jadi', 'penjahat']","['orang', 'sih', 'pengen', 'pembela', 'kebenaran', 'banykin', 'nonton', 'superhero', 'pengen', 'nya', 'penjahat']","['orang', 'sih', 'ken', 'bela', 'benar', 'banykin', 'nonton', 'superhero', 'ken', 'nya', 'jahat']",orang sih ken bela benar banykin nonton superhero ken nya jahat
Anak adalah cerminan tingkah laku orangtua...,Anak adalah cerminan tingkah laku orangtua,anak adalah cerminan tingkah laku orangtua,"['anak', 'adalah', 'cerminan', 'tingkah', 'laku', 'orangtua']","['anak', 'adalah', 'cerminan', 'tingkah', 'laku', 'orangtua']","['anak', 'cerminan', 'tingkah', 'laku', 'orangtua']","['anak', 'cermin', 'tingkah', 'laku', 'orangtua']",anak cermin tingkah laku orangtua
