Komentar
Homeschooling ada kok. Cm di cari2 info sekolah yg oke dan disiplin. Uangnya kan banyak jd PR nya cm cari tau sekolah mana yg bagus bukan hny kurikulum.
perundungan di mana pun pasti ada...kalau mau cari aman nya ya itu home schooling..kalau di saya sbgai org tua...saya terapkan anak harus bermental kuat dan pemberani..jgn terima bgtu aja saat diri kita di bullying...
Ikutin jalan bapaknya aja ambil paket C 😂😂😂😂
"Yq wajar namanya jg orang tua, intinya sih gimana kita nisa mengajarkan keberanian diri ke anak nya dan bisa selalu mengotrol semua kegiatanya dlm pertemanan"
Dulu saya anaknya orang kaya dan sering di palak 😂
Lebay banget.  Emg ngga mau kl anaknya pinter? 😂
"Kasihan, jgn kurung anaknya pak Atta, biarkan dia mengenal dunia maka demikian dia akan mengetahui akhirat.  Pak Atta boleh sekolahkan anaknya di sekolah yg sangat pak Atta percaya."
Gpp masukin aja ke pondok pesantren 😂😂😂😂
Aq ante.. denger keponakan aq dikadalin temennya ajah.. jam tangannya baru beli dtukr temennya sm mainan hrga 3rb.. auto nyap nyap.. kami suruh kmbali kponakan ku memnt kmbali jm tangnnya kembali.. (ttp dlm pantauan . Biar berani kelak mmpertahankn miliknya?
Kata siapa sekolah negri banyak bully an..sekolah amao sy walaupun sekolah kampung aman2 aja koq..malah anak2 nya kompak dari kls 1 smp kls 6 gak pernah ada masalah
Teringat anakku masih SD di dorong kaka' kelasnya sampai kepala bocor
Terlalu didramatisir. Tdk semua tempat begitu.
Namanya kenakalan remaja.kyk ga pernah nakal aja😂.Ngapain kasi anak sekolah.kamukan byk duit.😂😂😂beli aja ijasah toh hartamu 3 keturunan ga habis😂
"Sekolah tetep penting untuk pola pikir dan banyak manfaat lain yang didapat dari skolah. Tetep ajaro anak kita jangan nakal ke teman tapi lawan kalo teman nakal ke kita. Anak pertama saya pernah nyaker nendang teman cowok pas SD, ibunya komplain ke saya. Saya bilang pasti ada sebabnya. Ternyata teman cowok itu suka nyingkap2 rok anak saya. Kan pelecehan. Saya jd jawab,, gak mungkin anak saya marah tanpa sebab. Demikian juga anak kedua, karena anak saya cewe2. Dipalak teman cowok, takut skolah. Saya Dateng baik2 ke skolah, saya menghadap guru dan bilang ke anak jangan takut kalo teman nakal. Eh... SMA dibully lagi kakak kelasnya, anak saya lapor terus saya telpon kakak kelasnya, saya ngmng baik2, trs saya juga lapor gurunya. Gitulah.."
"hrs contoh ortu km @attahalilintar cara ngedidiknya keren, jd anak tahan banting dlm situasi apapun.Aq inget cerita mama km kl prnh jatuh bisnisnya smpe kalian naik kereta api ato apa ya?spy ga bayar...salut smua anak²nya hrs mandiri.Ada bbrp lho yg aq contoh dr parenting ortu km"
Aaaasiiiapp
"Gak sekolah,, gak dapet makan siang gratis?! Rugi dong !"
