Komentar,cleaning,Case_Folding,Tokenization,Hashed_Text,Normalisasi,Stopwords,Steaming,text_clean
Sbntar amat 3thnan.,Sbntar amat thnan,sbntar amat thnan,"['sbntar', 'amat', 'thnan']",2064e3f64c748484a1ab703861fa66e0,"['sbntar', 'amat', 'thnan']","['sbntar', 'thnan']","['sbntar', 'thnan']",sbntar thnan
Gak usahlah guru pake bilang siswa berprestasi. Dr mukanya aja udah keliatan sifatnya gmn. Berprestasi kog geng²an.,Gak usahlah guru pake bilang siswa berprestasi Dr mukanya aja udah keliatan sifatnya gmn Berprestasi kog geng an,gak usahlah guru pake bilang siswa berprestasi dr mukanya aja udah keliatan sifatnya gmn berprestasi kog geng an,"['gak', 'usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'dr', 'mukanya', 'aja', 'udah', 'keliatan', 'sifatnya', 'gmn', 'berprestasi', 'kog', 'geng', 'an']",5dbe07381e608b1958701b0ba2abd429,"['enggak', 'usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'dari', 'mukanya', 'saja', 'udah', 'keliatan', 'sifatnya', 'gimana', 'berprestasi', 'kog', 'geng', '.']","['usahlah', 'guru', 'pake', 'bilang', 'siswa', 'berprestasi', 'mukanya', 'udah', 'keliatan', 'sifatnya', 'gimana', 'berprestasi', 'kog', 'geng', '.']","['usah', 'guru', 'pake', 'bilang', 'siswa', 'prestasi', 'muka', 'udah', 'liat', 'sifat', 'gimana', 'prestasi', 'kog', 'geng', '']",usah guru pake bilang siswa prestasi muka udah liat sifat gimana prestasi kog geng
Gara2 dia berprestasi itu jadi kelakuaannya seenaknya...dan juga perilakunya tidak mencerminkan siswa berprestasi,Gara dia berprestasi itu jadi kelakuaannya seenaknya dan juga perilakunya tidak mencerminkan siswa berprestasi,gara dia berprestasi itu jadi kelakuaannya seenaknya dan juga perilakunya tidak mencerminkan siswa berprestasi,"['gara', 'dia', 'berprestasi', 'itu', 'jadi', 'kelakuaannya', 'seenaknya', 'dan', 'juga', 'perilakunya', 'tidak', 'mencerminkan', 'siswa', 'berprestasi']",4dd7279b00f21c748a21f16a55ad6dbd,"['gara', 'dia', 'berprestasi', 'itu', 'jadi', 'kelakuaannya', 'seenaknya', 'dan', 'juga', 'perilakunya', 'tidak', 'mencerminkan', 'siswa', 'berprestasi']","['gara', 'berprestasi', 'kelakuaannya', 'perilakunya', 'mencerminkan', 'siswa', 'berprestasi']","['gara', 'prestasi', 'kelakuaannya', 'perilaku', 'cermin', 'siswa', 'prestasi']",gara prestasi kelakuaannya perilaku cermin siswa prestasi
Halah bukan alasan...apalagi alasannya geng udah maksimal aja,Halah bukan alasan apalagi alasannya geng udah maksimal aja,halah bukan alasan apalagi alasannya geng udah maksimal aja,"['halah', 'bukan', 'alasan', 'apalagi', 'alasannya', 'geng', 'udah', 'maksimal', 'aja']",0531742ebf8bb1e0075997a8ece984a8,"['halah', 'bukan', 'alasan', 'apalagi', 'alasannya', 'geng', 'udah', 'maksimal', 'saja']","['halah', 'alasan', 'alasannya', 'geng', 'udah', 'maksimal']","['halah', 'alas', 'alas', 'geng', 'udah', 'maksimal']",halah alas alas geng udah maksimal
"Pindahkan kan Kepala Sekolah nya ngk bisa mendidik anak murid dengan baik,malah dibilng anak berprestasi,anak SMP aja kok main Geng segala,belajar lah yg baik dan benar",Pindahkan kan Kepala Sekolah nya ngk bisa mendidik anak murid dengan baik malah dibilng anak berprestasi anak SMP aja kok main Geng segala belajar lah yg baik dan benar,pindahkan kan kepala sekolah nya ngk bisa mendidik anak murid dengan baik malah dibilng anak berprestasi anak smp aja kok main geng segala belajar lah yg baik dan benar,"['pindahkan', 'kan', 'kepala', 'sekolah', 'nya', 'ngk', 'bisa', 'mendidik', 'anak', 'murid', 'dengan', 'baik', 'malah', 'dibilng', 'anak', 'berprestasi', 'anak', 'smp', 'aja', 'kok', 'main', 'geng', 'segala', 'belajar', 'lah', 'yg', 'baik', 'dan', 'benar']",9bde75b7fb5e281cea5530fe7ad1ac4f,"['pindahkan', 'kan', 'kepala', 'sekolah', 'nya', 'ngk', 'bisa', 'mendidik', 'anak', 'murid', 'dengan', 'baik', 'malah', 'dibilng', 'anak', 'berprestasi', 'anak', 'sekolah menengah pertama', 'saja', 'kok', 'main', 'geng', 'segala', 'belajar', 'lah', 'yang', 'baik', 'dan', 'benar']","['pindahkan', 'kepala', 'sekolah', 'ngk', 'mendidik', 'anak', 'murid', 'dibilng', 'anak', 'berprestasi', 'anak', 'sekolah menengah pertama', 'main', 'geng', 'belajar']","['pindah', 'kepala', 'sekolah', 'ngk', 'didik', 'anak', 'murid', 'dibilng', 'anak', 'prestasi', 'anak', 'sekolah tengah pertama', 'main', 'geng', 'ajar']",pindah kepala sekolah ngk didik anak murid dibilng anak prestasi anak sekolah tengah pertama main geng ajar
Gengnya pasti siap tempur lawan kkb,Gengnya pasti siap tempur lawan kkb,gengnya pasti siap tempur lawan kkb,"['gengnya', 'pasti', 'siap', 'tempur', 'lawan', 'kkb']",6720458dbef8644650e228a440279f8f,"['gengnya', 'pasti', 'siap', 'tempur', 'lawan', 'kkb']","['gengnya', 'tempur', 'lawan', 'kkb']","['geng', 'tempur', 'lawan', 'kkb']",geng tempur lawan kkb
Geng2 masih sekolah aja sudah jd preman..nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur..trs apakah akan ada efek jera buat pelaku??dan korban pasti saat ini akan sangat trauma.,Geng masih sekolah aja sudah jd preman nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur trs apakah akan ada efek jera buat pelaku dan korban pasti saat ini akan sangat trauma,geng masih sekolah aja sudah jd preman nanti klo dipenjara dpt hukuman ringan karena masih di bawah umur trs apakah akan ada efek jera buat pelaku dan korban pasti saat ini akan sangat trauma,"['geng', 'masih', 'sekolah', 'aja', 'sudah', 'jd', 'preman', 'nanti', 'klo', 'dipenjara', 'dpt', 'hukuman', 'ringan', 'karena', 'masih', 'di', 'bawah', 'umur', 'trs', 'apakah', 'akan', 'ada', 'efek', 'jera', 'buat', 'pelaku', 'dan', 'korban', 'pasti', 'saat', 'ini', 'akan', 'sangat', 'trauma']",5aef85857f419f5385ad3e5340b33652,"['geng', 'masih', 'sekolah', 'saja', 'sudah', 'jadi', 'preman', 'nanti', 'kalau', 'dipenjara', 'dapat', 'hukuman', 'ringan', 'karena', 'masih', 'di', 'bawah', 'umur', 'terus', 'apakah', 'akan', 'ada', 'efek', 'jera', 'buat', 'pelaku', 'dan', 'korban', 'pasti', 'saat', 'ini', 'akan', 'sangat', 'trauma']","['geng', 'sekolah', 'preman', 'dipenjara', 'hukuman', 'ringan', 'umur', 'ada', 'efek', 'jera', 'pelaku', 'korban', 'trauma']","['geng', 'sekolah', 'preman', 'penjara', 'hukum', 'ringan', 'umur', 'ada', 'efek', 'jera', 'laku', 'korban', 'trauma']",geng sekolah preman penjara hukum ringan umur ada efek jera laku korban trauma
Salah sendiri tdk punya masa depan lagi,Salah sendiri tdk punya masa depan lagi,salah sendiri tdk punya masa depan lagi,"['salah', 'sendiri', 'tdk', 'punya', 'masa', 'depan', 'lagi']",01e7733b1e30fb0c1332ebe87f56dd58,"['salah', 'sendiri', 'tidak', 'punya', 'masa', 'depan', 'lagi']",['salah'],['salah'],salah
"Kayaknya dari pihak sekolah, ingin mem-backup si perundung.
Apapun alasan sekolah, entah itu juara di kegiatan tertentu, anak berprestasi dan sebagainya, karena si perundung itu melakukan kejahatan fisik, sampai tulang rusuk korban patah, juga lehernya, maka hukum yang berlaku bukan lagi sebagai anak².  Hukum harus ditegakkan. Kalau bisa pak polisi @bagsumdaresbms , jangan menggunakan sistem peradilan anak².  Umur 14 dan 15 untuk saat ini sudah masuk kategori dewasa.  beda dengan jaman dulu.",Kayaknya dari pihak sekolah ingin mem backup si perundung Apapun alasan sekolah entah itu juara di kegiatan tertentu anak berprestasi dan sebagainya karena si perundung itu melakukan kejahatan fisik sampai tulang rusuk korban patah juga lehernya maka hukum yang berlaku bukan lagi sebagai anak Hukum harus ditegakkan Kalau bisa pak polisi jangan menggunakan sistem peradilan anak Umur dan untuk saat ini sudah masuk kategori dewasa beda dengan jaman dulu,kayaknya dari pihak sekolah ingin mem backup si perundung apapun alasan sekolah entah itu juara di kegiatan tertentu anak berprestasi dan sebagainya karena si perundung itu melakukan kejahatan fisik sampai tulang rusuk korban patah juga lehernya maka hukum yang berlaku bukan lagi sebagai anak hukum harus ditegakkan kalau bisa pak polisi jangan menggunakan sistem peradilan anak umur dan untuk saat ini sudah masuk kategori dewasa beda dengan jaman dulu,"['kayaknya', 'dari', 'pihak', 'sekolah', 'ingin', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'entah', 'itu', 'juara', 'di', 'kegiatan', 'tertentu', 'anak', 'berprestasi', 'dan', 'sebagainya', 'karena', 'si', 'perundung', 'itu', 'melakukan', 'kejahatan', 'fisik', 'sampai', 'tulang', 'rusuk', 'korban', 'patah', 'juga', 'lehernya', 'maka', 'hukum', 'yang', 'berlaku', 'bukan', 'lagi', 'sebagai', 'anak', 'hukum', 'harus', 'ditegakkan', 'kalau', 'bisa', 'pak', 'polisi', 'jangan', 'menggunakan', 'sistem', 'peradilan', 'anak', 'umur', 'dan', 'untuk', 'saat', 'ini', 'sudah', 'masuk', 'kategori', 'dewasa', 'beda', 'dengan', 'jaman', 'dulu']",f4515163645418d9788f6d70709023be,"['kayaknya', 'dari', 'pihak', 'sekolah', 'ingin', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'entah', 'itu', 'juara', 'di', 'kegiatan', 'tertentu', 'anak', 'berprestasi', 'dan', 'sebagainya', 'karena', 'si', 'perundung', 'itu', 'melakukan', 'kejahatan', 'fisik', 'sampai', 'tulang', 'rusuk', 'korban', 'patah', 'juga', 'lehernya', 'maka', 'hukum', 'yang', 'berlaku', 'bukan', 'lagi', 'sebagai', 'anak', 'hukum', 'harus', 'ditegakkan', 'kalo', 'bisa', 'pak', 'polisi', 'jangan', 'menggunakan', 'sistem', 'peradilan', 'anak', 'umur', 'dan', 'untuk', 'saat', 'ini', 'sudah', 'masuk', 'kategori', 'dewasa', 'beda', 'dengan', 'jaman', 'dulu']","['kayaknya', 'sekolah', 'mem', 'backup', 'si', 'perundung', 'apapun', 'alasan', 'sekolah', 'juara', 'kegiatan', 'anak', 'berprestasi', 'si', 'perundung', 'kejahatan', 'fisik', 'tulang', 'rusuk', 'korban', 'patah', 'lehernya', 'hukum', 'berlaku', 'anak', 'hukum', 'ditegakkan', 'kalo', 'polisi', 'sistem', 'peradilan', 'anak', 'umur', 'masuk', 'kategori', 'dewasa', 'beda', 'jaman']","['kayak', 'sekolah', 'mem', 'backup', 'si', 'rundung', 'apa', 'alas', 'sekolah', 'juara', 'giat', 'anak', 'prestasi', 'si', 'rundung', 'jahat', 'fisik', 'tulang', 'rusuk', 'korban', 'patah', 'leher', 'hukum', 'laku', 'anak', 'hukum', 'tegak', 'kalo', 'polisi', 'sistem', 'adil', 'anak', 'umur', 'masuk', 'kategori', 'dewasa', 'beda', 'jaman']",kayak sekolah mem backup si rundung apa alas sekolah juara giat anak prestasi si rundung jahat fisik tulang rusuk korban patah leher hukum laku anak hukum tegak kalo polisi sistem adil anak umur masuk kategori dewasa beda jaman
"Pihak sekolah mau ttup mata ya,seolah² terkejut...",Pihak sekolah mau ttup mata ya seolah terkejut,pihak sekolah mau ttup mata ya seolah terkejut,"['pihak', 'sekolah', 'mau', 'ttup', 'mata', 'ya', 'seolah', 'terkejut']",3ebf3a4c789d6deb1e3f460864f3ed20,"['pihak', 'sekolah', 'mau', 'ttup', 'mata', 'ya', 'seolah', 'terkejut']","['sekolah', 'ttup', 'mata', 'terkejut']","['sekolah', 'ttup', 'mata', 'kejut']",sekolah ttup mata kejut
