Komentar,cleaning,Case_Folding,Tokenization,Hashed_Text,Normalisasi,Stopwords,Steaming,text_clean
"Masih kecil kelakuan kek gitu, gede nya pasti cuma bs demo tanpa solusi, cuma bisa provokasi, cuma bisa nyela nyinyir, trus pasti jd SDM rendah😂",Masih kecil kelakuan kek gitu gede nya pasti cuma bs demo tanpa solusi cuma bisa provokasi cuma bisa nyela nyinyir trus pasti jd SDM rendah,masih kecil kelakuan kek gitu gede nya pasti cuma bs demo tanpa solusi cuma bisa provokasi cuma bisa nyela nyinyir trus pasti jd sdm rendah,"['masih', 'kecil', 'kelakuan', 'kek', 'gitu', 'gede', 'nya', 'pasti', 'cuma', 'bs', 'demo', 'tanpa', 'solusi', 'cuma', 'bisa', 'provokasi', 'cuma', 'bisa', 'nyela', 'nyinyir', 'trus', 'pasti', 'jd', 'sdm', 'rendah']",3e0e4c141b234486bd06c7f60e208c6b,"['masih', 'kecil', 'kelakuan', 'kayak', 'gitu', 'gede', 'nya', 'pasti', 'cuma', 'bisa', 'demo', 'tanpa', 'solusi', 'cuma', 'bisa', 'provokasi', 'cuma', 'bisa', 'nyela', 'nyinyir', 'terus', 'pasti', 'jadi', 'sdm', 'rendah']","['kelakuan', 'kayak', 'gitu', 'gede', 'demo', 'solusi', 'provokasi', 'nyela', 'nyinyir', 'sdm', 'rendah']","['laku', 'kayak', 'gitu', 'gede', 'demo', 'solusi', 'provokasi', 'nyela', 'nyinyir', 'sdm', 'rendah']",laku kayak gitu gede demo solusi provokasi nyela nyinyir sdm rendah
Jgn sampe jadi duta bulying yaa pa.,Jgn sampe jadi duta bulying yaa pa,jgn sampe jadi duta bulying yaa pa,"['jgn', 'sampe', 'jadi', 'duta', 'bulying', 'yaa', 'pa']",6a046bb713f96054150680f8d40a1df9,"['jangan', 'sampai', 'jadi', 'duta', 'bulying', 'ya', 'pa']","['duta', 'bulying', 'pa']","['duta', 'bulying', 'pa']",duta bulying pa
"Makin kesini narasi beritanya bagus bagusin pelaku dah, mulai dari pelaku berprestasi, sekarang pelaku kesal karena gengnya di catut. Seakan akan mewajarkan kalo pelaku berbuat seperti itu. Apa mungkin saya yg salah tangkap 😮",Makin kesini narasi beritanya bagus bagusin pelaku dah mulai dari pelaku berprestasi sekarang pelaku kesal karena gengnya di catut Seakan akan mewajarkan kalo pelaku berbuat seperti itu Apa mungkin saya yg salah tangkap,makin kesini narasi beritanya bagus bagusin pelaku dah mulai dari pelaku berprestasi sekarang pelaku kesal karena gengnya di catut seakan akan mewajarkan kalo pelaku berbuat seperti itu apa mungkin saya yg salah tangkap,"['makin', 'kesini', 'narasi', 'beritanya', 'bagus', 'bagusin', 'pelaku', 'dah', 'mulai', 'dari', 'pelaku', 'berprestasi', 'sekarang', 'pelaku', 'kesal', 'karena', 'gengnya', 'di', 'catut', 'seakan', 'akan', 'mewajarkan', 'kalo', 'pelaku', 'berbuat', 'seperti', 'itu', 'apa', 'mungkin', 'saya', 'yg', 'salah', 'tangkap']",6300a5d85fa960d045f4faf4c3211e1a,"['makin', 'kesini', 'narasi', 'beritanya', 'bagus', 'bagusin', 'pelaku', 'udah', 'mulai', 'dari', 'pelaku', 'berprestasi', 'sekarang', 'pelaku', 'kesal', 'karena', 'gengnya', 'di', 'catut', 'seakan', 'akan', 'mewajarkan', 'kalau', 'pelaku', 'berbuat', 'seperti', 'itu', 'apa', 'mungkin', 'saya', 'yang', 'salah', 'tangkap']","['kesini', 'narasi', 'beritanya', 'bagus', 'bagusin', 'pelaku', 'udah', 'pelaku', 'berprestasi', 'pelaku', 'kesal', 'gengnya', 'catut', 'seakan', 'mewajarkan', 'pelaku', 'berbuat', 'salah', 'tangkap']","['kesini', 'narasi', 'berita', 'bagus', 'bagusin', 'laku', 'udah', 'laku', 'prestasi', 'laku', 'kesal', 'geng', 'catut', 'akan', 'wajar', 'laku', 'buat', 'salah', 'tangkap']",kesini narasi berita bagus bagusin laku udah laku prestasi laku kesal geng catut akan wajar laku buat salah tangkap
"TERLEPAS DARI APAPUN MOTIFNYA. TETAP SALAH. MEREKA TUH DI SEKOLAHIN BIAR PUNYA OTAK, PUNYA ADAB. BISA BEDAIN MANA YANG SALAH, MANA YANG BENER .",TERLEPAS DARI APAPUN MOTIFNYA TETAP SALAH MEREKA TUH DI SEKOLAHIN BIAR PUNYA OTAK PUNYA ADAB BISA BEDAIN MANA YANG SALAH MANA YANG BENER,terlepas dari apapun motifnya tetap salah mereka tuh di sekolahin biar punya otak punya adab bisa bedain mana yang salah mana yang bener,"['terlepas', 'dari', 'apapun', 'motifnya', 'tetap', 'salah', 'mereka', 'tuh', 'di', 'sekolahin', 'biar', 'punya', 'otak', 'punya', 'adab', 'bisa', 'bedain', 'mana', 'yang', 'salah', 'mana', 'yang', 'bener']",f8f06067df0027ae256f8641f0beca78,"['terlepas', 'dari', 'apapun', 'motifnya', 'tetap', 'salah', 'mereka', 'tuh', 'di', 'sekolahin', 'biar', 'punya', 'otak', 'punya', 'kesopanan', 'bisa', 'bedain', 'mana', 'yang', 'salah', 'mana', 'yang', 'benar']","['terlepas', 'apapun', 'motifnya', 'tetap', 'salah', 'tuh', 'sekolahin', 'biar', 'otak', 'kesopanan', 'bedain', 'salah']","['lepas', 'apa', 'motif', 'tetap', 'salah', 'tuh', 'sekolahin', 'biar', 'otak', 'sopan', 'bedain', 'salah']",lepas apa motif tetap salah tuh sekolahin biar otak sopan bedain salah
Penjarakan jangan pandang uu dibawah umur.. gini gini dah bikin nyawa orang hampir hilang,Penjarakan jangan pandang uu dibawah umur gini gini dah bikin nyawa orang hampir hilang,penjarakan jangan pandang uu dibawah umur gini gini dah bikin nyawa orang hampir hilang,"['penjarakan', 'jangan', 'pandang', 'uu', 'dibawah', 'umur', 'gini', 'gini', 'dah', 'bikin', 'nyawa', 'orang', 'hampir', 'hilang']",9d205a884aa41608ea6e17820c873e9b,"['penjarakan', 'jangan', 'pandang', 'uu', 'dibawah', 'umur', 'gini', 'gini', 'udah', 'bikin', 'nyawa', 'orang', 'hampir', 'hilang']","['penjarakan', 'pandang', 'uu', 'dibawah', 'umur', 'gini', 'gini', 'udah', 'bikin', 'nyawa', 'orang', 'hilang']","['penjara', 'pandang', 'uu', 'bawah', 'umur', 'gin', 'gin', 'udah', 'bikin', 'nyawa', 'orang', 'hilang']",penjara pandang uu bawah umur gin gin udah bikin nyawa orang hilang
Katanya Karena Cewek ? Yang Benar Yg Mna ?,Katanya Karena Cewek Yang Benar Yg Mna,katanya karena cewek yang benar yg mna,"['katanya', 'karena', 'cewek', 'yang', 'benar', 'yg', 'mna']",5efe8bced9c26bbc7347187c35fc0604,"['katanya', 'karena', 'cewek', 'yang', 'benar', 'yang', 'mna']","['cewek', 'mna']","['cewek', 'mna']",cewek mna
Kalo mau berantem adu nyali tuh di ring tinju bukan viral malu2in keluarga,Kalo mau berantem adu nyali tuh di ring tinju bukan viral maluin keluarga,kalo mau berantem adu nyali tuh di ring tinju bukan viral maluin keluarga,"['kalo', 'mau', 'berantem', 'adu', 'nyali', 'tuh', 'di', 'ring', 'tinju', 'bukan', 'viral', 'maluin', 'keluarga']",f28bba2963ad955eaf8a3d45320aa3b3,"['kalau', 'mau', 'berantem', 'adu', 'nyali', 'tuh', 'di', 'ring', 'tinju', 'bukan', 'viral', 'maluin', 'keluarga']","['berantem', 'nyali', 'tuh', 'ring', 'tinju', 'viral', 'maluin', 'keluarga']","['antem', 'nyali', 'tuh', 'ring', 'tinju', 'viral', 'maluin', 'keluarga']",antem nyali tuh ring tinju viral maluin keluarga
"Katanya masalah cewek, yg bener alasannya yg mana ??",Katanya masalah cewek yg bener alasannya yg mana,katanya masalah cewek yg bener alasannya yg mana,"['katanya', 'masalah', 'cewek', 'yg', 'bener', 'alasannya', 'yg', 'mana']",f56a36f154d477316e6da37a5b25a119,"['katanya', 'masalah', 'cewek', 'yang', 'benar', 'alasannya', 'yang', 'mana']","['cewek', 'alasannya']","['cewek', 'alas']",cewek alas
"Intinya pelaku dan korban sama bader, karena kalah dari ketua geng jadi korban kena bulan2 dan ketua.",Intinya pelaku dan korban sama bader karena kalah dari ketua geng jadi korban kena bulan dan ketua,intinya pelaku dan korban sama bader karena kalah dari ketua geng jadi korban kena bulan dan ketua,"['intinya', 'pelaku', 'dan', 'korban', 'sama', 'bader', 'karena', 'kalah', 'dari', 'ketua', 'geng', 'jadi', 'korban', 'kena', 'bulan', 'dan', 'ketua']",df04b48c6d821363389e8b42e8682477,"['intinya', 'pelaku', 'dan', 'korban', 'sama', 'bader', 'karena', 'kalah', 'dari', 'ketua', 'geng', 'jadi', 'korban', 'kena', 'bulan', 'dan', 'ketua']","['intinya', 'pelaku', 'korban', 'kalah', 'ketua', 'geng', 'korban', 'kena', 'ketua']","['inti', 'laku', 'korban', 'kalah', 'ketua', 'geng', 'korban', 'kena', 'ketua']",inti laku korban kalah ketua geng korban kena ketua
Infonya dia sering bermasalah makanya pindah sekolah smpai beberapa kali....dan prestasi dia adlh juara silat infonya,Infonya dia sering bermasalah makanya pindah sekolah smpai beberapa kali dan prestasi dia adlh juara silat infonya,infonya dia sering bermasalah makanya pindah sekolah smpai beberapa kali dan prestasi dia adlh juara silat infonya,"['infonya', 'dia', 'sering', 'bermasalah', 'makanya', 'pindah', 'sekolah', 'smpai', 'beberapa', 'kali', 'dan', 'prestasi', 'dia', 'adlh', 'juara', 'silat', 'infonya']",783d857ff9356c5054c188f622fd7f5b,"['infonya', 'dia', 'sering', 'bermasalah', 'makanya', 'pindah', 'sekolah', 'smpai', 'beberapa', 'kali', 'dan', 'prestasi', 'dia', 'adalah', 'juara', 'silat', 'infonya']","['infonya', 'bermasalah', 'pindah', 'sekolah', 'smpai', 'kali', 'prestasi', 'juara', 'silat', 'infonya']","['info', 'masalah', 'pindah', 'sekolah', 'smpai', 'kali', 'prestasi', 'juara', 'silat', 'info']",info masalah pindah sekolah smpai kali prestasi juara silat info
Berprestasi? Kabarnya sudah berpindah-pindah sekolah 4 kali. Yang benar mana,Berprestasi Kabarnya sudah berpindah pindah sekolah kali Yang benar mana,berprestasi kabarnya sudah berpindah pindah sekolah kali yang benar mana,"['berprestasi', 'kabarnya', 'sudah', 'berpindah', 'pindah', 'sekolah', 'kali', 'yang', 'benar', 'mana']",df0fa7ac1539e930711849fd0418044c,"['berprestasi', 'kabarnya', 'sudah', 'berpindah', 'pindah', 'sekolah', 'kali', 'yang', 'benar', 'mana']","['berprestasi', 'kabarnya', 'berpindah', 'pindah', 'sekolah', 'kali']","['prestasi', 'kabar', 'pindah', 'pindah', 'sekolah', 'kali']",prestasi kabar pindah pindah sekolah kali
"Apa org itu paham definisi  dari kata genk?  Ortunya cr duit pala buat kaki, anaknya disekolahin ga ada adab. Model begitu di bejek dulu aturan anaknya 😮",Apa org itu paham definisi dari kata genk Ortunya cr duit pala buat kaki anaknya disekolahin ga ada adab Model begitu di bejek dulu aturan anaknya,apa org itu paham definisi dari kata genk ortunya cr duit pala buat kaki anaknya disekolahin ga ada adab model begitu di bejek dulu aturan anaknya,"['apa', 'org', 'itu', 'paham', 'definisi', 'dari', 'kata', 'genk', 'ortunya', 'cr', 'duit', 'pala', 'buat', 'kaki', 'anaknya', 'disekolahin', 'ga', 'ada', 'adab', 'model', 'begitu', 'di', 'bejek', 'dulu', 'aturan', 'anaknya']",79869b1204e6b1ae5d359f234931f55b,"['apa', 'orang', 'itu', 'paham', 'definisi', 'dari', 'kata', 'genk', 'ortunya', 'cr', 'duit', 'pala', 'buat', 'kaki', 'anaknya', 'disekolahin', 'enggak', 'ada', 'kesopanan', 'model', 'begitu', 'di', 'bejek', 'dulu', 'aturan', 'anaknya']","['orang', 'paham', 'definisi', 'genk', 'ortunya', 'cr', 'duit', 'pala', 'kaki', 'anaknya', 'disekolahin', 'ada', 'kesopanan', 'model', 'bejek', 'aturan', 'anaknya']","['orang', 'paham', 'definisi', 'genk', 'ortunya', 'cr', 'duit', 'pala', 'kaki', 'anak', 'disekolahin', 'ada', 'sopan', 'model', 'bejek', 'atur', 'anak']",orang paham definisi genk ortunya cr duit pala kaki anak disekolahin ada sopan model bejek atur anak
"Kmren masalahnya rebutan cewe, skrg catut geng, bsk apa lagi ya 😂😂",Kmren masalahnya rebutan cewe skrg catut geng bsk apa lagi ya,kmren masalahnya rebutan cewe skrg catut geng bsk apa lagi ya,"['kmren', 'masalahnya', 'rebutan', 'cewe', 'skrg', 'catut', 'geng', 'bsk', 'apa', 'lagi', 'ya']",76cc3fd3511c4dff70794b3d2eabd268,"['kmren', 'masalahnya', 'rebutan', 'cewe', 'sekarang', 'catut', 'geng', 'bsk', 'apa', 'lagi', 'ya']","['kmren', 'rebutan', 'cewe', 'catut', 'geng', 'bsk']","['kmren', 'rebut', 'cewe', 'catut', 'geng', 'bsk']",kmren rebut cewe catut geng bsk
"Hapus undang undang anak di bawah umur, itu semakin membuat para bocil so jagoan",Hapus undang undang anak di bawah umur itu semakin membuat para bocil so jagoan,hapus undang undang anak di bawah umur itu semakin membuat para bocil so jagoan,"['hapus', 'undang', 'undang', 'anak', 'di', 'bawah', 'umur', 'itu', 'semakin', 'membuat', 'para', 'bocil', 'so', 'jagoan']",a385c796de516b1015b18cf05da073c1,"['hapus', 'undang', 'undang', 'anak', 'di', 'bawah', 'umur', 'itu', 'semakin', 'membuat', 'para', 'bocil', 'so', 'jagoan']","['hapus', 'undang', 'undang', 'anak', 'umur', 'bocil', 'so', 'jagoan']","['hapus', 'undang', 'undang', 'anak', 'umur', 'bocil', 'so', 'jago']",hapus undang undang anak umur bocil so jago
MaSIH Kecil So Jadi JAGOAN....inget orang Tua Lo SUSAH SEKOLAH lo..lo Malah BEGINI..INI akibat Perbuatan Lo...TANGKAP..MASUKIN PENJARA BIAR Jera,MaSIH Kecil So Jadi JAGOAN inget orang Tua Lo SUSAH SEKOLAH lo lo Malah BEGINI INI akibat Perbuatan Lo TANGKAP MASUKIN PENJARA BIAR Jera,masih kecil so jadi jagoan inget orang tua lo susah sekolah lo lo malah begini ini akibat perbuatan lo tangkap masukin penjara biar jera,"['masih', 'kecil', 'so', 'jadi', 'jagoan', 'inget', 'orang', 'tua', 'lo', 'susah', 'sekolah', 'lo', 'lo', 'malah', 'begini', 'ini', 'akibat', 'perbuatan', 'lo', 'tangkap', 'masukin', 'penjara', 'biar', 'jera']",01784e40d0d021422db3cdc4d19e703d,"['masih', 'kecil', 'so', 'jadi', 'jagoan', 'inget', 'orang', 'tua', 'kamu', 'susah', 'sekolah', 'kamu', 'kamu', 'malah', 'begini', 'ini', 'akibat', 'perbuatan', 'kamu', 'tangkap', 'masukin', 'penjara', 'biar', 'jera']","['so', 'jagoan', 'inget', 'orang', 'tua', 'susah', 'sekolah', 'akibat', 'perbuatan', 'tangkap', 'masukin', 'penjara', 'biar', 'jera']","['so', 'jago', 'inget', 'orang', 'tua', 'susah', 'sekolah', 'akibat', 'buat', 'tangkap', 'masukin', 'penjara', 'biar', 'jera']",so jago inget orang tua susah sekolah akibat buat tangkap masukin penjara biar jera
Apapun judulnya gk boleh bgitu.situ pelajar apa preman,Apapun judulnya gk boleh bgitu situ pelajar apa preman,apapun judulnya gk boleh bgitu situ pelajar apa preman,"['apapun', 'judulnya', 'gk', 'boleh', 'bgitu', 'situ', 'pelajar', 'apa', 'preman']",d93c39e5b788cd2536712724cda95f41,"['apapun', 'judulnya', 'enggak', 'boleh', 'begitu', 'situ', 'pelajar', 'apa', 'preman']","['apapun', 'judulnya', 'situ', 'pelajar', 'preman']","['apa', 'judul', 'situ', 'ajar', 'preman']",apa judul situ ajar preman
Masukin RSJ aja pelaku,Masukin RSJ aja pelaku,masukin rsj aja pelaku,"['masukin', 'rsj', 'aja', 'pelaku']",8b0ed3516c5b1bb3b76b8cecb511907f,"['masukin', 'rsj', 'saja', 'pelaku']","['masukin', 'rsj', 'pelaku']","['masukin', 'rsj', 'laku']",masukin rsj laku
Hadehhh apa menjamin kalau berprestasi itu baik2 saja Bu kepala sekolah????? Eeeee tp itu Prestasi dan Penghargaan apaan ya? Jgn2 prestasi gelut ya Bu KepSek??,Hadehh apa menjamin kalau berprestasi itu baik saja Bu kepala sekolah Eee tp itu Prestasi dan Penghargaan apaan ya Jgn prestasi gelut ya Bu KepSek,hadehh apa menjamin kalau berprestasi itu baik saja bu kepala sekolah eee tp itu prestasi dan penghargaan apaan ya jgn prestasi gelut ya bu kepsek,"['hadehh', 'apa', 'menjamin', 'kalau', 'berprestasi', 'itu', 'baik', 'saja', 'bu', 'kepala', 'sekolah', 'eee', 'tp', 'itu', 'prestasi', 'dan', 'penghargaan', 'apaan', 'ya', 'jgn', 'prestasi', 'gelut', 'ya', 'bu', 'kepsek']",19057ee2cf2db304a09d8217b0d097b8,"['hadehh', 'apa', 'menjamin', 'kalo', 'berprestasi', 'itu', 'baik', 'saja', 'bu', 'kepala', 'sekolah', 'eee', 'tapi', 'itu', 'prestasi', 'dan', 'penghargaan', 'apaan', 'ya', 'jangan', 'prestasi', 'gelut', 'ya', 'bu', 'kepsek']","['hadehh', 'menjamin', 'kalo', 'berprestasi', 'bu', 'kepala', 'sekolah', 'eee', 'prestasi', 'penghargaan', 'prestasi', 'gelut', 'bu', 'kepsek']","['hadehh', 'jamin', 'kalo', 'prestasi', 'bu', 'kepala', 'sekolah', 'eee', 'prestasi', 'harga', 'prestasi', 'gelut', 'bu', 'kepsek']",hadehh jamin kalo prestasi bu kepala sekolah eee prestasi harga prestasi gelut bu kepsek
Katanya urusan cewek,Katanya urusan cewek,katanya urusan cewek,"['katanya', 'urusan', 'cewek']",6a9a4731690febcfffc11f1c55359a10,"['katanya', 'urusan', 'cewek']","['urusan', 'cewek']","['urus', 'cewek']",urus cewek
Waaaah pelaku banyak prestasi 😂😂😂😂,Waah pelaku banyak prestasi,waah pelaku banyak prestasi,"['waah', 'pelaku', 'banyak', 'prestasi']",15dd5dd87fdc7434d11dcaff9b0fc501,"['waah', 'pelaku', 'banyak', 'prestasi']","['waah', 'pelaku', 'prestasi']","['waah', 'laku', 'prestasi']",waah laku prestasi
Terbukti lah video nya aja viral di mana² ada...😮,Terbukti lah video nya aja viral di mana ada,terbukti lah video nya aja viral di mana ada,"['terbukti', 'lah', 'video', 'nya', 'aja', 'viral', 'di', 'mana', 'ada']",3d372804e82db3379f74f5c52ea2cffa,"['terbukti', 'lah', 'video', 'nya', 'saja', 'viral', 'di', 'mana', 'ada']","['terbukti', 'video', 'viral', 'ada']","['bukti', 'video', 'viral', 'ada']",bukti video viral ada
Udah biarin ada bagus nya juga sebentar di penjara nya. Pas keluar neraka sesungguhnya menanti,Udah biarin ada bagus nya juga sebentar di penjara nya Pas keluar neraka sesungguhnya menanti,udah biarin ada bagus nya juga sebentar di penjara nya pas keluar neraka sesungguhnya menanti,"['udah', 'biarin', 'ada', 'bagus', 'nya', 'juga', 'sebentar', 'di', 'penjara', 'nya', 'pas', 'keluar', 'neraka', 'sesungguhnya', 'menanti']",4d16fff26d03154e5066f14323db5a04,"['udah', 'biarin', 'ada', 'bagus', 'nya', 'juga', 'sebentar', 'di', 'penjara', 'nya', 'pas', 'keluar', 'neraka', 'sesungguhnya', 'menanti']","['udah', 'biarin', 'ada', 'bagus', 'sebentar', 'penjara', 'pas', 'neraka', 'sesungguhnya']","['udah', 'biarin', 'ada', 'bagus', 'sebentar', 'penjara', 'pas', 'neraka', 'sungguh']",udah biarin ada bagus sebentar penjara pas neraka sungguh
Mantapzzz.,Mantapzz,mantapzz,['mantapzz'],af6480fe1f2b410b7f3af85ec63a05dd,['mantapzz'],['mantapzz'],['mantapzz'],mantapzz
Mksutnya gimna ini kok geng2an ...,Mksutnya gimna ini kok gengan,mksutnya gimna ini kok gengan,"['mksutnya', 'gimna', 'ini', 'kok', 'gengan']",85e24155cf99843acfd73e80365380ba,"['mksutnya', 'gimna', 'ini', 'kok', 'gengan']","['mksutnya', 'gimna', 'gengan']","['mksutnya', 'gimna', 'geng']",mksutnya gimna geng
Berpresrasi sekali itu anak membuat sekolahnya terkenal,Berpresrasi sekali itu anak membuat sekolahnya terkenal,berpresrasi sekali itu anak membuat sekolahnya terkenal,"['berpresrasi', 'sekali', 'itu', 'anak', 'membuat', 'sekolahnya', 'terkenal']",f72bc3ba6b1143a1c55803a2da2a1948,"['berprestasi', 'sekali', 'itu', 'anak', 'membuat', 'sekolahnya', 'terkenal']","['berprestasi', 'anak', 'sekolahnya', 'terkenal']","['prestasi', 'anak', 'sekolah', 'kenal']",prestasi anak sekolah kenal
Masih SMP geng gengan.. Besar jadi bajingn,Masih SMP geng gengan Besar jadi bajingn,masih smp geng gengan besar jadi bajingn,"['masih', 'smp', 'geng', 'gengan', 'besar', 'jadi', 'bajingn']",dfba66e937e4924601b224cfc4b0f885,"['masih', 'sekolah menengah pertama', 'geng', 'gengan', 'besar', 'jadi', 'bajingan']","['sekolah menengah pertama', 'geng', 'gengan', 'bajingan']","['sekolah tengah pertama', 'geng', 'geng', 'bajing']",sekolah tengah pertama geng geng bajing
"Intinya berantaslah sikat habis perilaku premanisme, dari yang masih bocah sampe yg udah bangkotan.",Intinya berantaslah sikat habis perilaku premanisme dari yang masih bocah sampe yg udah bangkotan,intinya berantaslah sikat habis perilaku premanisme dari yang masih bocah sampe yg udah bangkotan,"['intinya', 'berantaslah', 'sikat', 'habis', 'perilaku', 'premanisme', 'dari', 'yang', 'masih', 'bocah', 'sampe', 'yg', 'udah', 'bangkotan']",45f28f0f7948da2a5d7d9a80b0cd6f7d,"['intinya', 'berantaslah', 'sikat', 'habis', 'perilaku', 'premanisme', 'dari', 'yang', 'masih', 'bocah', 'sampai', 'yang', 'udah', 'Sudah besar']","['intinya', 'berantaslah', 'sikat', 'habis', 'perilaku', 'premanisme', 'bocah', 'udah', 'Sudah besar']","['inti', 'rantas', 'sikat', 'habis', 'perilaku', 'preman', 'bocah', 'udah', 'sudah besar']",inti rantas sikat habis perilaku preman bocah udah sudah besar
Di sebelah katanya gara²cwek,Di sebelah katanya gara cwek,di sebelah katanya gara cwek,"['di', 'sebelah', 'katanya', 'gara', 'cwek']",47d13b9019d2a1ad643b586d5f88de10,"['di', 'sebelah', 'katanya', 'gara', 'cwek']","['sebelah', 'gara', 'cwek']","['belah', 'gara', 'cwek']",belah gara cwek
Berprestasi dengan segala ketololannya . .,Berprestasi dengan segala ketololannya,berprestasi dengan segala ketololannya,"['berprestasi', 'dengan', 'segala', 'ketololannya']",dd9a49af6db764cdd93321383fcaa937,"['berprestasi', 'dengan', 'segala', 'ketololannya']","['berprestasi', 'ketololannya']","['prestasi', 'tolol']",prestasi tolol
"Masa depan yg suram, dari muka nya aja udah nampak",Masa depan yg suram dari muka nya aja udah nampak,masa depan yg suram dari muka nya aja udah nampak,"['masa', 'depan', 'yg', 'suram', 'dari', 'muka', 'nya', 'aja', 'udah', 'nampak']",3edb0fbca0e58a17a2a9bd714db77ae2,"['masa', 'depan', 'yang', 'suram', 'dari', 'muka', 'nya', 'saja', 'udah', 'nampak']","['suram', 'muka', 'udah', 'nampak']","['suram', 'muka', 'udah', 'nampak']",suram muka udah nampak
Please penjarain pak👏👏👏,Please penjarain pak,please penjarain pak,"['please', 'penjarain', 'pak']",41e4e1a6fbebd727f358a5c29c798ab3,"['please', 'penjarain', 'pak']","['please', 'penjarain']","['please', 'penjarain']",please penjarain
Gari arep ujian wae kakehan polah le tole,Gari arep ujian wae kakehan polah le tole,gari arep ujian wae kakehan polah le tole,"['gari', 'arep', 'ujian', 'wae', 'kakehan', 'polah', 'le', 'tole']",3045349ce89f4f43b6b7334fc05a343c,"['gari', 'arep', 'ujian', 'wae', 'kakehan', 'polah', 'le', 'tole']","['gari', 'arep', 'ujian', 'wae', 'kakehan', 'polah', 'le', 'tole']","['gari', 'arep', 'uji', 'wae', 'kakehan', 'polah', 'le', 'tole']",gari arep uji wae kakehan polah le tole
Wow ada geng di sekolah tsb,Wow ada geng di sekolah tsb,wow ada geng di sekolah tsb,"['wow', 'ada', 'geng', 'di', 'sekolah', 'tsb']",2667010a5fd395144d8b8c7510fd0ebb,"['wow', 'ada', 'geng', 'di', 'sekolah', 'tsb']","['wow', 'ada', 'geng', 'sekolah']","['wow', 'ada', 'geng', 'sekolah']",wow ada geng sekolah
Dek kalo merasa sok jagoan mending lawan KKB aja....,Dek kalo merasa sok jagoan mending lawan KKB aja,dek kalo merasa sok jagoan mending lawan kkb aja,"['dek', 'kalo', 'merasa', 'sok', 'jagoan', 'mending', 'lawan', 'kkb', 'aja']",cb083796e11283d5bc610134ed0fede8,"['dek', 'kalau', 'merasa', 'sok', 'jagoan', 'mending', 'lawan', 'kkb', 'saja']","['dek', 'sok', 'jagoan', 'mending', 'lawan', 'kkb']","['dek', 'sok', 'jago', 'mending', 'lawan', 'kkb']",dek sok jago mending lawan kkb
"Cuma 2 yg tersangka? Kayaknya banyak yg ngerumuni, neriakin sama nyemangatin.  Trus yg memvideokan serta menyebarkan videonya, gak ditahan?",Cuma yg tersangka Kayaknya banyak yg ngerumuni neriakin sama nyemangatin Trus yg memvideokan serta menyebarkan videonya gak ditahan,cuma yg tersangka kayaknya banyak yg ngerumuni neriakin sama nyemangatin trus yg memvideokan serta menyebarkan videonya gak ditahan,"['cuma', 'yg', 'tersangka', 'kayaknya', 'banyak', 'yg', 'ngerumuni', 'neriakin', 'sama', 'nyemangatin', 'trus', 'yg', 'memvideokan', 'serta', 'menyebarkan', 'videonya', 'gak', 'ditahan']",c25d094e7e52772717bd7396c91bb8e1,"['cuma', 'yang', 'tersangka', 'kayaknya', 'banyak', 'yang', 'ngerumuni', 'neriakin', 'sama', 'nyemangatin', 'terus', 'yang', 'memvideokan', 'serta', 'menyebarkan', 'videonya', 'enggak', 'ditahan']","['tersangka', 'kayaknya', 'ngerumuni', 'neriakin', 'nyemangatin', 'memvideokan', 'menyebarkan', 'videonya', 'ditahan']","['sangka', 'kayak', 'ngerumuni', 'neriakin', 'nyemangatin', 'video', 'sebar', 'video', 'tahan']",sangka kayak ngerumuni neriakin nyemangatin video sebar video tahan
Ehm masih kecil sudah jadi penjahat.gimana besarnya..,Ehm masih kecil sudah jadi penjahat gimana besarnya,ehm masih kecil sudah jadi penjahat gimana besarnya,"['ehm', 'masih', 'kecil', 'sudah', 'jadi', 'penjahat', 'gimana', 'besarnya']",fb2723a53631c3b62631fe50818af956,"['ehm', 'masih', 'kecil', 'sudah', 'jadi', 'penjahat', 'gimana', 'besarnya']","['ehm', 'penjahat', 'gimana', 'besarnya']","['ehm', 'jahat', 'gimana', 'besar']",ehm jahat gimana besar
"Waktu sekolah SMP gw pernah di bully dia ngajakin DUEL, tapi pas DUEL dia yg bonyok😂",Waktu sekolah SMP gw pernah di bully dia ngajakin DUEL tapi pas DUEL dia yg bonyok,waktu sekolah smp gw pernah di bully dia ngajakin duel tapi pas duel dia yg bonyok,"['waktu', 'sekolah', 'smp', 'gw', 'pernah', 'di', 'bully', 'dia', 'ngajakin', 'duel', 'tapi', 'pas', 'duel', 'dia', 'yg', 'bonyok']",e48537032a297b584f8619a79eaaae9c,"['waktu', 'sekolah', 'sekolah menengah pertama', 'aku', 'pernah', 'di', 'bully', 'dia', 'ngajakin', 'duel', 'tapi', 'pas', 'duel', 'dia', 'yang', 'bonyok']","['sekolah', 'sekolah menengah pertama', 'bully', 'ngajakin', 'duel', 'pas', 'duel', 'bonyok']","['sekolah', 'sekolah tengah pertama', 'bully', 'ngajakin', 'duel', 'pas', 'duel', 'bonyok']",sekolah sekolah tengah pertama bully ngajakin duel pas duel bonyok
